graph_name,V,E,n_bit,n_ppr,n_iter,max_iter,exec_time_ms,transfer_time_ms,speedup
amazon,128000,443378,20,8,26,260,289.12201923076924,1.9099603999999997,6.813732157935712
amazon,128000,443378,22,8,26,260,289.21461538461534,1.8861442999999998,6.811550645115819
amazon,128000,443378,24,8,26,260,307.6413461538462,1.9917643,6.403560589722672
amazon,128000,443378,26,8,26,260,313.7523557692308,2.0452402999999997,6.278837317954554
amazon,128000,443378,float,8,13,130,1758.4413461538459,1.1323403,1.1203103272730057
gnp,100000,1002172,20,8,13,130,358.32240384615386,1.5017049999999998,5.944367355032922
gnp,100000,1002172,22,8,13,130,358.60951923076925,1.4888780000000001,5.939608085610581
gnp,100000,1002172,24,8,13,130,398.07499999999993,1.596976,5.350750486717328
gnp,100000,1002172,26,8,13,130,398.1314423076923,1.538191,5.349991921396273
gnp,100000,1002172,float,8,13,130,2497.9692307692308,2.067474,0.8526926487977927
gnp,200000,1999243,20,8,13,130,1095.7698076923075,3.4832529999999995,2.503262985295024
gnp,200000,1999243,22,8,13,130,1095.0017307692308,3.526747,2.5050188715894195
gnp,200000,1999243,24,8,13,130,1146.170673076923,3.6542199999999996,2.393186341643474
gnp,200000,1999243,26,8,13,130,1185.2749038461536,3.718436,2.3142310624304216
gnp,200000,1999243,float,8,13,130,6024.657692307692,4.707565,0.4552955769590485
pc,100000,858638,float,8,13,130,2239.0211538461535,1.8208070000000003,0.9513085646114245
pc,100000,859228,20,8,13,130,317.8781730769231,1.3553871999999998,6.700680261820189
pc,100000,859228,22,8,13,130,318.5277884615385,1.3112845000000002,6.687014688067609
pc,100000,859228,24,8,13,130,352.8924038461538,1.427661,6.0358340864956395
pc,100000,859228,26,8,13,130,353.1101923076923,1.3366997999999999,6.032111353341979
pc,200000,1717670,20,8,13,130,968.6317307692308,3.015217,2.831829593091762
pc,200000,1717670,22,8,13,130,967.9883653846153,3.054341,2.8337117449858096
pc,200000,1717670,24,8,13,130,1012.5538461538462,3.124712,2.7089917345326366
pc,200000,1717670,26,8,13,130,1047.1876923076923,3.2448589999999995,2.619396713835739
pc,200000,1717670,float,8,13,130,5397.107692307691,4.081836999999999,0.5082351800964621
smw,100000,845072,20,8,13,130,314.9745192307692,1.3248031,6.762451785629791
smw,100000,845072,22,8,13,130,315.4146153846154,1.2711149000000002,6.753016176510039
smw,100000,845072,24,8,13,130,349.04999999999995,1.395852,6.1022776106575
smw,100000,845072,26,8,13,130,349.3960576923077,1.3452843,6.096233638319308
smw,100000,845110,float,8,13,130,2219.7625,1.7711509999999997,0.9595621153163909
smw,200000,1689788,20,8,13,130,958.7838461538463,2.99296,2.8609159520193446
smw,200000,1689788,22,8,13,130,958.1884615384616,3.0190719999999995,2.8626936245880645
smw,200000,1689788,24,8,13,130,1001.8550961538463,3.1006000000000005,2.737920893480968
smw,200000,1689788,26,8,13,130,1036.4581730769228,3.194382,2.6465129720159224
smw,200000,1689788,float,8,13,130,5347.716346153846,3.979517,0.5129292248218821
twitter,81306,1572670,20,8,26,260,646.3655288461539,5.087903,3.32783835771659
twitter,81306,1572670,22,8,26,260,646.1741826923076,5.091161,3.3288238026437122
twitter,81306,1572670,24,8,26,260,694.2118750000001,5.227227,3.0984776801750904
twitter,81306,1572670,26,8,26,260,709.1574999999998,5.30758,3.03317669206065
twitter,81306,1572670,float,8,13,130,3389.067307692307,3.101097,0.6346878963181952
amazon,128000,482618,cpu,1,100,1000,1970.0,0.0,1.0
gnp,100000,1002178,cpu,1,100,1000,2254.0,0.0,0.9449866903283053
gnp,200000,1999249,cpu,1,100,1000,2743.0,0.0,1.0
pc,100000,999845,cpu,1,100,1000,1986.0,0.0,1.0725075528700907
pc,200000,1999825,cpu,1,100,1000,2540.0,0.0,1.0799212598425196
smw,100000,1000000,cpu,1,100,1000,2130.0,0.0,1.0
smw,200000,2000000,cpu,1,100,1000,2749.0,0.0,0.9978173881411422
twitter,81306,1768149,cpu,1,100,1000,2151.0,0.0,1.0
