config,metric,value
A,exact_match,0.15613382899628253
A,token_relative_edit_distance,1.2233316312244276
A,iou,0.3016050470636599
A,bleu,0.513980102306405
A,rouge_fmeasure,0.39187788425528125
B,exact_match,0.5074349442379182
B,token_relative_edit_distance,0.3004923393468037
B,iou,0.69865114233144
B,bleu,0.8392112272268778
B,rouge_fmeasure,0.7839012211546428
C,exact_match,0.5483271375464684
C,token_relative_edit_distance,0.2594202144456824
C,iou,0.7265897155302367
C,bleu,0.8521235622327124
C,rouge_fmeasure,0.8026597003972961
