name,iteration,exec_time_1_us,exec_time_2_us
B0,1,12610.006999999923,11826.867999999991
B0,2,12096.01299999985,11955.356000000083
B0,3,12527.316999999985,12240.45599999979
B0,4,12165.8809999996,11701.114999999263
B0,5,12005.520999999851,12002.097999999962
B0,6,12402.306000000252,12044.697000000326
B0,8,11835.0429999996,12148.594999999315
B0,9,12291.56300000156,12198.643000001395
B0,10,11906.577000001304,11656.0219999986
B0,11,12021.927999999349,12156.113999999718
B0,12,12436.186000000404,12150.057999999575
B0,13,12394.545000001144,12562.133999999503
B0,14,12436.043999999314,12043.245999999286
B0,15,12317.89500000069,11750.020999999222
B0,16,12341.843999999825,12195.080999999776
B0,17,12492.99800000081,12024.60600000066
B0,18,12806.771000001048,12150.290999999312
B0,19,12033.733999999184,12171.766999999889
B0,20,13659.941000000232,11798.26100000092
B0,21,12494.35600000126,12321.162999999302
B0,23,12120.53399999924,11827.832000001592
B0,24,12155.262000000275,11584.042999999156
B0,25,12536.16099999988,12225.78299999988
B0,26,12162.122999999525,12138.033000001158
B0,27,12246.128000001025,11985.664999999202
B0,28,12296.006999999776,11272.649000000356
B0,30,12035.098000000133,11997.111999999532
B0,31,12623.684000001134,12028.59900000064
B0,32,12552.699999998753,11880.936999999036
B0,33,12387.51600000043,12176.714000000644
B0,35,12438.553000000851,11964.64200000058
B0,36,12112.567999999155,11996.330000000557
B0,37,12546.816000000405,11988.582000000748
B0,38,12420.146000000188,12320.67600000164
B0,39,12511.786999997554,12069.542999999072
B0,40,12082.363999997626,12012.89600000166
B0,41,12547.851000000775,12157.630000000809
B0,42,12458.218999999104,11834.45000000205
B0,43,12577.958000001388,12451.60500000253
B0,44,12733.99399999775,12031.328000002615
B0,45,12352.361999997896,11763.198999997116
B0,46,12387.670999999043,11834.733000000597
B0,47,12290.967999998516,11833.85699999917
B0,48,11944.592000002527,12071.9170000001
B0,49,11870.50000000056,11974.65400000297
B0,50,12405.071999999962,11748.959999998477
B0,51,12327.2130000025,11885.383999999278
B0,52,12212.098000002668,12103.675999998844
B0,53,12270.249000000178,11979.696999997455
B0,54,12079.725999999624,11865.148999998351
B0,55,12436.669999999594,11986.493999998514
B0,56,12468.27299999964,11889.671000002269
B0,57,12402.026000000176,11953.590000000955
B0,58,12267.242000000067,12161.98999999918
B0,59,12454.03799999778,11968.120000002358
B0,60,12571.189999999177,12230.347000002695
B0,61,12903.7469999993,12107.823000000906
B0,62,11880.8279999989,11896.68399999988
B0,63,12157.20500000117,12395.884000000024
B0,64,12162.145999997876,12060.627000000324
B0,65,12649.309000000389,11339.332999998674
B0,66,12221.203999999376,11880.419000000586
B0,67,12034.111999998488,11994.438000002105
B0,68,12244.040000002344,12245.710999998491
B0,69,12231.011000000792,12305.360999999237
B0,70,12284.194999999443,12096.566000000308
B0,71,12463.420999999642,11853.698999999551
B0,72,12408.116999999664,11898.490000000094
B0,73,12446.270999998176,12099.37999999866
B0,74,12024.416000002702,11667.47899999976
B0,75,11971.112999997757,12037.462000002108
B0,76,12468.226000002858,12136.2050000009
B0,77,12041.50899999945,11924.563999997416
B0,78,12161.974999997938,11631.01599999905
B0,79,12591.2169999971,11969.102999998428
B0,80,12035.563000001304,11887.168000001224
B0,81,12290.089000000393,12121.634999999742
B0,82,12299.148000000316,11858.189999998103
B0,83,12463.877000001845,12137.02799999794
B0,84,12379.740000000083,11791.5470000014
B0,85,11854.65899999727,11967.19900000076
B0,86,12159.578999998645,11844.27000000099
B0,87,12237.978000001704,12069.44199999782
B0,88,12095.302000002306,11824.285999999518
B0,89,12352.44199999741,11966.577999999115
B0,90,11689.324000002443,11694.584000000674
B0,91,12405.175000001378,12398.68700000102
B0,92,12538.512000002554,12069.475000000552
B0,93,12588.337000000394,12525.65300000086
B0,94,12073.468000000532,11942.249000000516
B0,95,12105.750999999998,12457.713999999953
B0,96,12592.228999999124,11936.047999999031
B0,97,12247.932999997602,12046.283999996633
B0,98,12454.856000001511,11842.628000000132
B0,99,12763.037999999227,11862.258000000737
B1,2,2260.439000000003,2247.1780000000163
B1,3,2364.6840000000057,2270.421999999994
B1,4,2232.764000000054,2247.751999999992
B1,5,2178.459999999993,2245.681
B1,6,2219.481000000023,2233.217999999981
B1,7,2267.0990000001057,2261.7809999999627
B1,8,2175.8280000000464,2250.69
B1,9,2232.287,2295.6179999999995
B1,10,2234.5850000000664,2229.318000000036
B1,11,2200.9849999999888,2363.7869999999507
B1,12,2145.489999999972,2213.886999999914
B1,13,2401.569999999964,2190.1659999998824
B1,14,2237.9280000000003,2223.730999999951
B1,15,2200.603999999995,2263.931000000108
B1,16,2243.1499999999714,2271.829000000114
B1,17,2300.7489999999907,2269.1670000001272
B1,18,2247.9630000000748,2268.989999999915
B1,19,2244.64000000002,2069.1420000000794
B1,20,2205.5620000001054,2157.576999999966
B1,21,2287.543999999864,2248.4780000000537
B1,22,2152.023999999919,2257.2169999999223
B1,23,2196.753000000218,2219.7809999999763
B1,24,2162.576999999999,2250.6870000000845
B1,25,2261.390000000141,2305.533999999998
B1,26,2148.9059999999504,2212.1240000001485
B1,27,2224.816999999657,2233.084000000218
B1,28,2247.083999999955,2300.470000000221
B1,29,2254.054999999866,2379.778999999971
B1,30,2197.08499999971,2266.611000000029
B1,31,2474.8310000002325,2229.6619999999657
B1,32,2297.6850000002714,2164.522999999808
B1,33,2152.7140000001664,2218.8619999998773
B1,34,2210.5919999999555,2288.712999999998
