iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 1000000, O0, no_simplification, 27254.368000000002, 35603.833, 10878.012000000006, 12482.957000000002, 0
1, 1000000, O0, no_simplification, 20734.16, 21399.982999999982, 9897.86099999998, 10528.09199999999, 0
2, 1000000, O0, no_simplification, 20675.677000000003, 21322.446999999967, 9879.283999999989, 10439.448000000019, 0
3, 1000000, O0, no_simplification, 20740.515999999985, 21635.10499999999, 9906.488000000047, 10591.496000000088, 0
4, 1000000, O0, no_simplification, 20570.352000000014, 21084.595000000038, 9816.300999999972, 10357.477000000004, 0
5, 1000000, O0, no_simplification, 20532.849000000075, 20944.48400000004, 9855.650999999965, 10330.343999999992, 0
6, 1000000, O0, no_simplification, 20798.71, 21890.038, 9924.616000000053, 10897.049000000103, 0
7, 1000000, O0, no_simplification, 20692.76199999992, 21331.030000000028, 9926.14199999986, 10630.51100000001, 0
8, 1000000, O0, no_simplification, 20339.820000000007, 20994.747000000036, 9476.857999999977, 9981.373000000016, 1
9, 1000000, O0, no_simplification, 20185.786999999957, 20624.99799999995, 9500.091000000044, 9965.250999999897, 0
10, 1000000, O0, no_simplification, 20207.107000000058, 20649.110999999997, 9587.36300000007, 10092.170000000067, 0
11, 1000000, O0, no_simplification, 20225.554000000033, 20776.651000000034, 9496.402999999988, 10032.319999999872, 0
12, 1000000, O0, no_simplification, 20688.715999999997, 21526.93800000005, 9840.281000000006, 10573.914000000073, 0
13, 1000000, O0, no_simplification, 20642.85499999996, 21359.6949999999, 9860.247999999849, 10513.389999999845, 0
14, 1000000, O0, no_simplification, 20253.939000000053, 20778.672000000053, 9535.951000000154, 9987.38900000018, 0
15, 1000000, O0, no_simplification, 20241.21499999998, 20737.4210000002, 9542.649999999763, 10021.177000000047, 0
16, 1000000, O0, no_simplification, 20350.40300000013, 20882.975000000137, 9557.89100000004, 10127.746999999854, 0
17, 1000000, O0, no_simplification, 20415.45599999983, 20908.78500000004, 9510.716999999946, 10041.53100000016, 0
18, 1000000, O0, no_simplification, 20295.309000000205, 20791.63599999978, 9973.947999999844, 10693.4139999999, 0
19, 1000000, O0, no_simplification, 20521.8549999997, 21026.72299999986, 9802.292999999907, 10309.976000000275, 0
20, 1000000, O0, no_simplification, 20463.94900000026, 20847.25200000026, 9760.79700000021, 10208.076000000066, 0
21, 1000000, O0, no_simplification, 20690.757999999754, 21696.366000000024, 9873.187999999811, 10657.178999999851, 0
22, 1000000, O0, no_simplification, 20571.691999999864, 20964.693999999894, 9722.799000000392, 10150.914000000012, 0
