iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 4000000, O0, no_simplification, 16917.247999999996, 29167.264, 13274.805, 15746.36600000001, 0
1, 4000000, O0, no_simplification, 12338.977999999834, 13318.85899999996, 11599.077999999929, 12610.790999999954, 0
2, 4000000, O0, no_simplification, 11743.96400000033, 13023.01500000036, 11374.58899999988, 12080.515999999709, 0
3, 4000000, O0, no_simplification, 12177.729999999887, 12983.983999999893, 11648.225000000068, 12433.498000000043, 0
4, 4000000, O0, no_simplification, 11681.86399999982, 12166.837000000542, 11692.243000000602, 12273.840000000646, 0
5, 4000000, O0, no_simplification, 11815.627999999911, 12296.443000000323, 11695.296000000077, 12539.50500000034, 0
6, 4000000, O0, no_simplification, 12115.471000000432, 12866.666000000749, 11606.474000000588, 12473.982000000384, 0
7, 4000000, O0, no_simplification, 12527.715000000051, 13269.014999999663, 12097.0060000003, 13085.450000000164, 0
8, 4000000, O0, no_simplification, 12096.392999999316, 13140.931999999772, 11561.25500000016, 12918.600000000779, 0
9, 4000000, O0, no_simplification, 12158.60599999985, 13482.73099999986, 12126.969000000543, 13154.245000000841, 0
10, 4000000, O0, no_simplification, 11921.25100000041, 12433.811000001071, 11710.96999999932, 12300.69300000025, 0
11, 4000000, O0, no_simplification, 11862.233000000444, 12345.419000000746, 11819.313000000164, 12396.037000000248, 0
12, 4000000, O0, no_simplification, 11859.464000000486, 12535.143000000915, 11690.424000001087, 12465.383000000329, 0
13, 4000000, O0, no_simplification, 11882.97700000085, 12356.007000001056, 12021.66699999907, 12611.912999998864, 0
14, 4000000, O0, no_simplification, 11771.24800000051, 12237.779999999531, 11579.385000000997, 12358.759999999691, 0
15, 4000000, O0, no_simplification, 11978.667000001053, 12674.458999999417, 11679.462000000029, 12248.42499999923, 0
16, 4000000, O0, no_simplification, 11958.321999999911, 12460.813999998876, 12241.150000001255, 12841.3510000005, 0
17, 4000000, O0, no_simplification, 11985.554000000675, 12703.702999999678, 11950.503000001334, 12741.934000001009, 0
18, 4000000, O0, no_simplification, 12001.069000000087, 12475.988999998577, 11474.815999999777, 12016.703999998768, 0
19, 4000000, O0, no_simplification, 11916.273000000643, 12132.378000000443, 11785.880999999776, 12122.510000001086, 0
20, 4000000, O0, no_simplification, 11655.36000000067, 11871.727000000832, 12153.90900000024, 12646.094000000829, 0
21, 4000000, O0, no_simplification, 11779.597000000307, 12178.09800000147, 11820.303000000366, 12111.897999998788, 0
22, 4000000, O0, no_simplification, 11650.147000001, 11853.673000000952, 11337.258999999378, 11632.717999999542, 0
23, 4000000, O0, no_simplification, 11930.841999999942, 12133.808999999828, 11470.79000000062, 11779.194000000714, 0
24, 4000000, O0, no_simplification, 12008.820000000142, 12475.675000001018, 11621.018999999676, 12093.575999999828, 0
25, 4000000, O0, no_simplification, 11251.575999999375, 11449.973999999585, 11943.030999999493, 12242.883999999065, 0
26, 4000000, O0, no_simplification, 11573.52700000125, 11772.461999999707, 11679.297000000588, 11981.382000000096, 0
27, 4000000, O0, no_simplification, 12175.20800000038, 12384.759999999773, 11612.638999999092, 11919.57700000046, 0
28, 4000000, O0, no_simplification, 11828.809999999025, 12290.997999999221, 11848.615999999978, 12413.063999998642, 0
29, 4000000, O0, no_simplification, 12143.26899999918, 12771.133999999407, 11632.461999999678, 11996.425999999616, 0
30, 4000000, O0, no_simplification, 11375.477999999717, 11670.965000000422, 11595.944000001524, 11973.553000000691, 0
31, 4000000, O0, no_simplification, 31657.205000000133, 32479.711999998883, 11915.695000000782, 13431.254000000337, 0
32, 4000000, O0, no_simplification, 11697.390000000141, 12516.852999999273, 11479.399000000612, 11937.75499999994, 0
33, 4000000, O0, no_simplification, 11784.762000001336, 11994.432000001609, 11750.899999999121, 12034.220999998624, 0
34, 4000000, O0, no_simplification, 11876.24499999984, 12070.137000000259, 11433.445999999847, 11769.089999999593, 0
35, 4000000, O0, no_simplification, 11858.523000000787, 12133.16299999967, 11870.148999999941, 12280.131000000694, 0
36, 4000000, O0, no_simplification, 11708.0559999998, 12147.319000000323, 11608.118999999917, 12062.173000000343, 0
37, 4000000, O0, no_simplification, 11760.317000000243, 11949.698000000453, 11691.175000001052, 12031.057999999817, 0
38, 4000000, O0, no_simplification, 11647.348000000335, 11844.72999999997, 11805.068000001029, 12118.38800000109, 0
39, 4000000, O0, no_simplification, 11740.165999999164, 11939.884000000235, 11834.900000000203, 12221.128000000192, 0
40, 4000000, O0, no_simplification, 11644.280000000506, 11839.519000000464, 11736.914000001874, 12024.117000001055, 0
41, 4000000, O0, no_simplification, 11827.214000000196, 12204.99400000108, 11795.17099999927, 12273.685000000256, 0
42, 4000000, O0, no_simplification, 11792.374000002326, 11982.520000000108, 12055.682999999817, 12386.935999998626, 0
43, 4000000, O0, no_simplification, 11978.230000000423, 12167.198000000211, 11929.619000000002, 12270.472000000866, 0
44, 4000000, O0, no_simplification, 11519.929000002094, 11705.839000001106, 11578.726999999844, 11889.63199999904, 0
45, 4000000, O0, no_simplification, 11925.977000000643, 12158.905999999803, 11468.763999999965, 11786.896000000268, 0
46, 4000000, O0, no_simplification, 11774.082000002294, 12281.912000002392, 11731.817999997673, 12508.317999998297, 0
47, 4000000, O0, no_simplification, 11721.876999999382, 12078.230000000189, 11674.702000000536, 11963.267999998805, 0
48, 4000000, O0, no_simplification, 12059.02200000253, 12732.583000001796, 11692.466999999595, 12134.957999997197, 0
49, 4000000, O0, no_simplification, 11349.411999997727, 11541.7089999994, 11851.926000002066, 12127.879000001229, 0
50, 4000000, O0, no_simplification, 11600.188999999262, 11805.857999998892, 11469.337999997719, 11761.829999997532, 0
51, 4000000, O0, no_simplification, 11822.775000002395, 12011.855000000793, 11764.482999996773, 12048.763999999323, 0
52, 4000000, O0, no_simplification, 11782.763000002917, 12577.594000003244, 11476.63600000115, 11955.581000002268, 0
53, 4000000, O0, no_simplification, 11815.745999999905, 12007.501999999447, 11679.111999999492, 11971.668999997575, 0
54, 4000000, O0, no_simplification, 11108.111999998726, 11304.743000000173, 11538.337000001064, 11817.83200000197, 0
55, 4000000, O0, no_simplification, 11777.302999998796, 11997.224999998223, 11562.391999998312, 11849.431999998216, 0
56, 4000000, O0, no_simplification, 11662.651999998274, 11852.893999996893, 11818.103999999606, 12132.211999997366, 0
57, 4000000, O0, no_simplification, 11938.63499999992, 12173.11399999943, 11714.037000000842, 12011.65299999829, 0
58, 4000000, O0, no_simplification, 11933.514999999063, 12177.941999997443, 11459.713000000704, 11779.40399999855, 0
59, 4000000, O0, no_simplification, 11782.244999999137, 12226.971999997006, 11815.287000001006, 12348.663000000926, 0
60, 4000000, O0, no_simplification, 11668.184000001247, 11879.560000000567, 11435.969000000767, 11725.042999998437, 0
61, 4000000, O0, no_simplification, 11795.007999999996, 11981.275000000125, 11776.30300000132, 12060.854000001342, 0
62, 4000000, O0, no_simplification, 11675.740999997686, 11866.536999999511, 11684.704000000324, 11989.801000002131, 0
63, 4000000, O0, no_simplification, 11897.556000000975, 12106.042999999288, 11921.086000000969, 12307.209999999457, 0
64, 4000000, O0, no_simplification, 10993.407000000843, 11187.927000001708, 12170.198999999826, 12483.623000001387, 0
65, 4000000, O0, no_simplification, 11835.615999999049, 12247.079999998079, 11830.276999997835, 12318.710999998928, 0
66, 4000000, O0, no_simplification, 11691.281000000941, 11879.614000001482, 11670.337000001751, 11945.879000002435, 0
67, 4000000, O0, no_simplification, 11741.398000001624, 11937.371000001916, 11869.630999999714, 12216.847000001251, 0
68, 4000000, O0, no_simplification, 11719.588999998365, 11922.72699999819, 11496.372999999949, 11784.454000000722, 0
69, 4000000, O0, no_simplification, 11093.082000002141, 11283.717000001303, 11820.991999996977, 12097.75099999888, 0
70, 4000000, O0, no_simplification, 11702.679999999076, 11892.248999998856, 11563.8330000003, 11842.934000000583, 0
71, 4000000, O0, no_simplification, 11766.938999997477, 11954.720999998613, 11484.688999999547, 11768.826000000843, 0
72, 4000000, O0, no_simplification, 11680.389999998653, 11869.871999998339, 11526.194999998295, 12049.254000000787, 0
73, 4000000, O0, no_simplification, 11831.031999999908, 12225.459999999799, 11760.910999999653, 12054.026999997803, 0
74, 4000000, O0, no_simplification, 11127.80500000099, 11311.492000000811, 11428.851999998102, 11696.264999997653, 0
75, 4000000, O0, no_simplification, 11515.961000000629, 12023.133999999658, 11616.670999998747, 11954.785000000356, 0
76, 4000000, O0, no_simplification, 11927.113999998795, 12123.439999999875, 11873.052999998634, 12145.055999997823, 0
77, 4000000, O0, no_simplification, 11982.156000001964, 12282.849000001761, 11995.626000000924, 12310.251000002381, 0
78, 4000000, O0, no_simplification, 11622.600999999122, 11811.662999999584, 11839.206000001212, 12118.443999998619, 0
79, 4000000, O0, no_simplification, 11985.985999999117, 12551.504999997576, 11954.082999999117, 12407.340999999406, 0
80, 4000000, O0, no_simplification, 11651.55600000034, 12575.289999997352, 11662.20100000004, 12113.365000001153, 0
81, 4000000, O0, no_simplification, 11821.301000001227, 12020.529000000835, 11389.733999997987, 11668.453999998717, 0
82, 4000000, O0, no_simplification, 11553.995000003426, 11738.754000003126, 11547.616999997956, 11821.174999997907, 0
83, 4000000, O0, no_simplification, 11872.996999997555, 12055.49399999839, 11715.69099999914, 11985.940999998946, 0
84, 4000000, O0, no_simplification, 11823.57799999778, 12009.129999999146, 11694.154000000623, 11974.722000001491, 0
85, 4000000, O0, no_simplification, 12277.665000002713, 12476.539000001452, 12174.863000002035, 12450.207000000546, 0
86, 4000000, O0, no_simplification, 11607.589000000473, 11798.217000002609, 11553.551999998746, 11831.667999999241, 0
87, 4000000, O0, no_simplification, 11709.265000000358, 11892.05200000032, 11586.91200000206, 11869.7040000022, 0
88, 4000000, O0, no_simplification, 11847.301999999616, 12220.714000001464, 11510.404999999224, 11977.49700000017, 0
89, 4000000, O0, no_simplification, 11908.856000001577, 12092.499000001311, 11696.901000000536, 11971.52000000301, 0
90, 4000000, O0, no_simplification, 11639.267999999704, 11826.674999998233, 11656.823999999233, 11934.181000000877, 0
91, 4000000, O0, no_simplification, 11708.846000001216, 11904.245000000203, 11713.747999998248, 11987.838999999667, 0
92, 4000000, O0, no_simplification, 11626.52600000058, 11819.06899999774, 11766.213000001357, 12039.956999998936, 0
93, 4000000, O0, no_simplification, 11659.130000001738, 11851.708000001792, 11865.883999998772, 12162.949000000368, 0
94, 4000000, O0, no_simplification, 11606.999000001395, 11797.45600000004, 11521.090999998762, 11808.401999999773, 0
95, 4000000, O0, no_simplification, 11704.755999996763, 11887.472999998039, 11879.876999998374, 12159.587999999389, 0
96, 4000000, O0, no_simplification, 11817.837999998916, 12197.399999998026, 11449.40200000022, 11892.554000002776, 0
97, 4000000, O0, no_simplification, 11667.397000000079, 11868.354999997166, 11544.750999998854, 11830.393000000327, 0
98, 4000000, O0, no_simplification, 11611.736999999068, 11801.75999999733, 11502.063999998314, 11784.983999998389, 0
99, 4000000, O0, no_simplification, 11970.04899999854, 12160.145999999371, 11851.914000001074, 12149.263000001298, 0
0, 4000000, O0, simplify_accesses, 16850.476, 24986.371, 13209.865999999958, 15341.165000000046, 0
1, 4000000, O0, simplify_accesses, 12202.409000000136, 13116.010000000068, 11794.258999999973, 12703.428999999876, 0
2, 4000000, O0, simplify_accesses, 11805.032999999908, 12610.6720000001, 11534.950999999794, 12985.673999999835, 0
3, 4000000, O0, simplify_accesses, 12271.214999999724, 13073.214999999916, 11684.71300000018, 12513.873000000509, 0
4, 4000000, O0, simplify_accesses, 11628.868999999931, 12688.988999999929, 11449.02800000036, 12042.705999999904, 0
5, 4000000, O0, simplify_accesses, 11215.355999999232, 11971.217999999339, 11548.68200000081, 13463.932000000512, 0
6, 4000000, O0, simplify_accesses, 11737.143000000395, 12255.879000000468, 11894.687999999931, 12586.334999999948, 0
7, 4000000, O0, simplify_accesses, 12568.997999999887, 13467.990999999734, 11965.89600000042, 13253.341000000419, 0
8, 4000000, O0, simplify_accesses, 11906.577999999612, 12646.655999999368, 12001.832000001044, 13583.406000000408, 0
9, 4000000, O0, simplify_accesses, 12344.303000000778, 14254.595000000592, 12147.04300000058, 13209.253000001198, 0
10, 4000000, O0, simplify_accesses, 11907.339000000406, 12419.849000000482, 11411.986000000596, 12636.506999999852, 0
11, 4000000, O0, simplify_accesses, 11964.721000000012, 12666.580000001204, 11715.504999999737, 12287.313999999938, 0
12, 4000000, O0, simplify_accesses, 11899.051999998634, 12378.65199999888, 11985.627999999693, 12712.107000000473, 0
13, 4000000, O0, simplify_accesses, 12247.369000000674, 12987.825999999814, 11452.807999999592, 12239.79999999969, 0
14, 4000000, O0, simplify_accesses, 12067.578999999994, 12573.17800000024, 11624.58299999969, 12218.502999999713, 0
15, 4000000, O0, simplify_accesses, 12067.221000000573, 12726.448000000446, 11638.284, 12397.921999999895, 0
16, 4000000, O0, simplify_accesses, 11764.232000000873, 12258.195999999443, 11979.771000000028, 12539.88300000053, 0
17, 4000000, O0, simplify_accesses, 12378.953999998997, 12871.65899999998, 11899.683000001105, 12498.780000001374, 0
18, 4000000, O0, simplify_accesses, 11869.676999999967, 12405.08499999926, 11555.524000000261, 12050.735000000755, 0
19, 4000000, O0, simplify_accesses, 11808.130999998668, 12017.59899999999, 11687.77100000007, 12006.304999999884, 0
20, 4000000, O0, simplify_accesses, 11623.968000000317, 11832.737000000649, 11615.94399999899, 11937.289999998768, 0
21, 4000000, O0, simplify_accesses, 11919.12700000053, 12333.073000000639, 11524.841000001728, 12055.544000000751, 0
22, 4000000, O0, simplify_accesses, 11796.90199999861, 12020.490999999467, 11220.940999999484, 11527.77099999902, 0
23, 4000000, O0, simplify_accesses, 11822.762999999626, 12043.258000000278, 11389.514999999406, 11712.541999999716, 0
24, 4000000, O0, simplify_accesses, 11698.839999999322, 12114.297000000108, 11549.438999999495, 12051.206000000648, 0
25, 4000000, O0, simplify_accesses, 11847.914000000514, 12054.575000000512, 11497.196999998849, 11791.60299999893, 0
26, 4000000, O0, simplify_accesses, 11619.97799999881, 11832.906000000421, 11192.34599999963, 11489.604999999514, 0
27, 4000000, O0, simplify_accesses, 11849.90900000038, 12075.027999999933, 11724.382999998894, 12029.777999998714, 0
28, 4000000, O0, simplify_accesses, 11930.416000000221, 12350.898999999416, 11652.073000000484, 12183.849000001246, 0
29, 4000000, O0, simplify_accesses, 12107.566000000958, 12322.831000000533, 11531.816999999834, 11825.702999999521, 0
30, 4000000, O0, simplify_accesses, 11639.052999999678, 11842.816999999783, 11522.538999999555, 11849.701000000934, 0
31, 4000000, O0, simplify_accesses, 11894.844000000405, 12143.940000001407, 11472.066999999697, 11798.616000000095, 0
32, 4000000, O0, simplify_accesses, 11771.038000000899, 12178.875000000033, 11050.888999999841, 11516.613999999592, 0
33, 4000000, O0, simplify_accesses, 11763.24800000117, 11964.342000000628, 11595.705999999594, 11887.568999998877, 0
34, 4000000, O0, simplify_accesses, 11611.470000000068, 11813.42099999938, 11551.46099999982, 11864.270000000231, 0
35, 4000000, O0, simplify_accesses, 12003.176000000338, 12245.732000000231, 11753.150000000545, 12142.949999999431, 0
36, 4000000, O0, simplify_accesses, 11605.244999998376, 11869.616999998556, 11391.492999997865, 11681.84599999833, 0
37, 4000000, O0, simplify_accesses, 11976.58100000254, 12399.504000001116, 11550.97599999877, 12052.03099999963, 0
38, 4000000, O0, simplify_accesses, 11639.338000001942, 11856.553000001213, 11437.381000000358, 11761.953000000602, 0
39, 4000000, O0, simplify_accesses, 11818.357999999307, 12027.324999998256, 11567.093000000028, 11877.01799999985, 0
40, 4000000, O0, simplify_accesses, 11698.070999997868, 12329.071999999996, 11726.60499999978, 12105.773999998348, 0
41, 4000000, O0, simplify_accesses, 11911.866999998467, 12117.034999999276, 11346.578999997802, 11659.229999999354, 0
42, 4000000, O0, simplify_accesses, 12021.99199999754, 12712.902000000526, 11453.847999998601, 11938.251000000122, 0
43, 4000000, O0, simplify_accesses, 11958.469000003191, 12169.54200000231, 11534.267999998348, 11813.792999998184, 0
44, 4000000, O0, simplify_accesses, 11869.416999999772, 12460.487999998548, 11513.847999999882, 12100.488000001518, 0
45, 4000000, O0, simplify_accesses, 12357.98400000121, 12656.046000000031, 11807.001000001093, 12126.234000000124, 0
46, 4000000, O0, simplify_accesses, 11612.343000003022, 11811.036000000997, 11124.60300000251, 11450.873000001138, 0
47, 4000000, O0, simplify_accesses, 11791.158000001189, 11987.026999999984, 11515.70799999746, 11798.624999997286, 0
48, 4000000, O0, simplify_accesses, 11803.164000003364, 12365.715000001386, 11349.635999998498, 11809.45099999775, 0
49, 4000000, O0, simplify_accesses, 11943.39799999966, 12155.49499999824, 11576.1749999983, 11863.5299999994, 0
50, 4000000, O0, simplify_accesses, 11811.933000000607, 12013.603999999845, 11316.055000001768, 11603.084000000763, 0
51, 4000000, O0, simplify_accesses, 11824.590999999884, 12027.997999997098, 11460.240000001675, 11794.160000000886, 0
52, 4000000, O0, simplify_accesses, 11671.268000000622, 11872.073999999344, 11480.399999999947, 11766.652000002154, 0
53, 4000000, O0, simplify_accesses, 11715.760000001297, 11918.292000000718, 11582.764999999996, 12067.830999999529, 0
54, 4000000, O0, simplify_accesses, 11563.707999997063, 11945.7479999987, 11696.425000000232, 12000.345000000578, 0
55, 4000000, O0, simplify_accesses, 11790.348999998201, 12029.569999999268, 11510.194000003083, 11819.766000002119, 0
56, 4000000, O0, simplify_accesses, 11711.784999999252, 11923.090999999886, 11367.118999999093, 11687.552999998019, 0
57, 4000000, O0, simplify_accesses, 11910.036999999818, 12132.124000000744, 11778.257999999652, 12070.99899999875, 0
58, 4000000, O0, simplify_accesses, 11708.9679999971, 11931.204999999778, 11646.448000000475, 11975.387000003224, 0
59, 4000000, O0, simplify_accesses, 11694.659999999856, 11908.489000003186, 11470.606999999689, 11793.05299999811, 0
60, 4000000, O0, simplify_accesses, 11630.107999998529, 12070.333000000488, 11377.878000001117, 11914.332999999999, 0
61, 4000000, O0, simplify_accesses, 11005.23599999903, 11208.365999998194, 11701.050999999296, 11994.905000001665, 0
62, 4000000, O0, simplify_accesses, 11719.863999999801, 11926.257999999023, 11590.01600000309, 11906.168000002992, 0
63, 4000000, O0, simplify_accesses, 12009.45200000092, 12235.26999999791, 11563.551000001837, 11906.123999999352, 0
64, 4000000, O0, simplify_accesses, 11847.94999999994, 12047.379000001967, 11468.117999999806, 11768.645000000077, 0
65, 4000000, O0, simplify_accesses, 11818.319999999716, 12020.482000000498, 11371.41299999911, 11665.13300000105, 0
66, 4000000, O0, simplify_accesses, 11754.972000002084, 11961.183000000376, 11404.652999999598, 11697.857000001477, 0
67, 4000000, O0, simplify_accesses, 12043.644999998549, 12429.80299999985, 11682.821000000842, 12146.97800000053, 0
68, 4000000, O0, simplify_accesses, 11638.669999999962, 11840.91600000059, 11521.733999998673, 11815.617999999973, 0
69, 4000000, O0, simplify_accesses, 11822.148000000254, 12022.367000000144, 11826.507000002095, 12121.737000001076, 0
70, 4000000, O0, simplify_accesses, 11856.968000000023, 12057.393999999278, 11454.507999999918, 11742.341000001488, 0
71, 4000000, O0, simplify_accesses, 11668.486999997896, 11872.43500000079, 11459.127999998487, 11755.23299999881, 0
72, 4000000, O0, simplify_accesses, 11597.744999999548, 11795.804000001908, 11479.91999999931, 11765.255000000252, 0
73, 4000000, O0, simplify_accesses, 11690.183999998993, 11890.231999998945, 11631.516999997872, 11937.483000000526, 0
74, 4000000, O0, simplify_accesses, 11655.556000000899, 11986.541999998934, 11616.172000000091, 11917.783000001236, 0
75, 4000000, O0, simplify_accesses, 12027.412000001903, 12425.837999998635, 11169.626000000932, 11636.453000001267, 0
76, 4000000, O0, simplify_accesses, 11860.551000001607, 12062.535000001873, 11482.350000001417, 11766.674000000421, 0
77, 4000000, O0, simplify_accesses, 11930.124999999236, 12132.929999999931, 11390.56700000296, 11708.392000002732, 0
78, 4000000, O0, simplify_accesses, 11637.073999999358, 11835.010999998729, 11202.625999999327, 11488.237000001789, 0
79, 4000000, O0, simplify_accesses, 11823.004000000026, 12018.624999999616, 11672.7499999989, 11955.582999998882, 0
80, 4000000, O0, simplify_accesses, 12088.723999998052, 12542.8620000001, 11355.015999999552, 11691.718000001572, 0
81, 4000000, O0, simplify_accesses, 11838.711999999417, 12050.815999998576, 11567.371999998244, 11860.133999999078, 0
82, 4000000, O0, simplify_accesses, 12022.258999998314, 12759.053999999993, 11327.345000001544, 11908.117000000828, 0
83, 4000000, O0, simplify_accesses, 11731.048999997995, 11941.982999999822, 11714.732000001504, 12025.500000000022, 0
84, 4000000, O0, simplify_accesses, 11760.74199999988, 11971.833000000486, 11240.186999998514, 11529.376999998674, 0
85, 4000000, O0, simplify_accesses, 12133.365999996926, 12965.645999997832, 11787.870000002698, 12279.028000001801, 0
86, 4000000, O0, simplify_accesses, 11695.772999999575, 11901.179999998845, 11480.242999997614, 11770.68599999842, 0
87, 4000000, O0, simplify_accesses, 11817.119999999903, 12015.261999998473, 11441.43800000208, 11721.329000000225, 0
88, 4000000, O0, simplify_accesses, 12040.418000001551, 12234.68299999908, 11589.555999997003, 11868.00599999671, 0
89, 4000000, O0, simplify_accesses, 11696.960000001865, 12887.941000002456, 11823.369999998335, 12101.074000000266, 0
90, 4000000, O0, simplify_accesses, 11237.215000001299, 11429.087999999865, 11352.19900000095, 12098.09000000206, 0
91, 4000000, O0, simplify_accesses, 11884.724000001512, 12256.34000000042, 11359.249000001626, 11635.549000001078, 0
92, 4000000, O0, simplify_accesses, 11506.018999998701, 11709.899999999607, 11333.191000002074, 11666.290000000856, 0
93, 4000000, O0, simplify_accesses, 11745.762000000326, 11937.37299999853, 11460.20499999878, 11740.086999999732, 0
94, 4000000, O0, simplify_accesses, 11630.418999999392, 11821.499999999929, 11828.475999998034, 12110.348000000215, 0
95, 4000000, O0, simplify_accesses, 11657.378999998968, 11854.724999999178, 11437.994999997869, 11710.745999998551, 0
96, 4000000, O0, simplify_accesses, 11529.387999999584, 11724.010000001783, 11679.300000000836, 11998.439000002747, 0
97, 4000000, O0, simplify_accesses, 11722.509999998465, 11909.099000000368, 11500.282000000083, 11788.787000000411, 0
98, 4000000, O0, simplify_accesses, 11811.304999998385, 12009.221999999652, 11310.95099999868, 11581.354000000487, 0
99, 4000000, O0, simplify_accesses, 11896.303000000331, 12262.866000000373, 11584.878000000743, 12052.720999999878, 0
0, 4000000, O2, no_simplification, 17304.003999999997, 28047.552, 12804.505000000077, 15005.06300000004, 0
1, 4000000, O2, no_simplification, 12183.870000000097, 13004.400000000027, 12074.219000000052, 12776.391000000054, 0
