iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 200000, O0, no_simplification, 13925.003999999999, 21960.704, 7510.752999999995, 9611.583000000006, 199981
1, 200000, O0, no_simplification, 7328.951999999944, 8291.118000000042, 6092.691999999955, 7052.614999999873, 199980
2, 200000, O0, no_simplification, 7463.935999999949, 8704.14399999997, 5908.451000000036, 6479.856000000117, 199980
3, 200000, O0, no_simplification, 7234.155999999992, 7775.858000000025, 5953.5739999998505, 6443.2750000000815, 199978
4, 200000, O0, no_simplification, 7258.0079999999825, 8025.320000000224, 6120.527999999847, 6842.795999999928, 199980
5, 200000, O0, no_simplification, 7245.466999999728, 7898.367000000128, 6045.136000000007, 6728.3160000002335, 199977
6, 200000, O0, no_simplification, 7484.316999999852, 8806.556000000131, 5984.344999999891, 6709.2669999997415, 199980
7, 200000, O0, no_simplification, 7255.756000000169, 8560.39399999986, 6313.632999999985, 7074.044999999974, 199979
8, 200000, O0, no_simplification, 7240.255999999335, 7732.067000000065, 5901.464999999995, 6446.796000000532, 199978
9, 200000, O0, no_simplification, 7327.560000000232, 7864.378999999922, 6262.688000000516, 6765.311999999746, 199976
10, 200000, O0, no_simplification, 7122.282000000091, 7593.4079999999685, 5982.329000000064, 6487.824999999781, 199980
11, 200000, O0, no_simplification, 7177.3579999998565, 7657.124999999709, 5318.604000000171, 5822.130999999508, 199978
12, 200000, O0, no_simplification, 7228.411999999907, 7666.84700000031, 5928.461999999968, 6395.840999999791, 199979
13, 200000, O0, no_simplification, 7277.979000000379, 7708.822999999754, 6090.40400000005, 6564.1520000001565, 199979
14, 200000, O0, no_simplification, 7143.319999999953, 7605.079000000181, 5954.4680000005455, 6436.125000000458, 199978
15, 200000, O0, no_simplification, 7187.8329999996995, 7608.32199999939, 6022.454000000011, 6486.413000000191, 199980
16, 200000, O0, no_simplification, 7335.763999999578, 7806.4749999997575, 6089.917999999805, 6601.021999999901, 199978
17, 200000, O0, no_simplification, 7144.204000000265, 7585.348000000103, 5910.008999999938, 6363.074000000246, 199976
18, 200000, O0, no_simplification, 7057.49599999983, 7378.6560000002055, 5942.155999999699, 6203.678999999518, 199980
19, 200000, O0, no_simplification, 7129.391000000318, 7347.581000000325, 6011.456000000415, 6269.228999999932, 199983
20, 200000, O0, no_simplification, 7102.2179999999935, 7290.2450000000845, 5831.075999999768, 6082.791999999948, 199974
21, 200000, O0, no_simplification, 7217.90200000072, 7414.287000000463, 5967.799999999635, 6215.295999999704, 199979
22, 200000, O0, no_simplification, 7079.341999999933, 7268.503999999787, 5737.693000000377, 5987.976000000117, 199979
23, 200000, O0, no_simplification, 6969.692000000194, 7170.459000000129, 5764.560999999447, 6042.831999999443, 199977
24, 200000, O0, no_simplification, 7029.990000001263, 7224.5459999997765, 5837.2800000014995, 6084.407000001235, 199980
25, 200000, O0, no_simplification, 7040.075000000812, 7243.9920000011425, 6012.119000001093, 6266.614999999476, 199978
26, 200000, O0, no_simplification, 6966.267999999332, 7170.652999999305, 5797.2699999986335, 6041.164999999182, 199981
27, 200000, O0, no_simplification, 7245.741000000195, 7829.66399999907, 5957.499999999171, 6261.050999999185, 199979
28, 200000, O0, no_simplification, 7082.769000000155, 7334.541000000528, 5854.948000001415, 6105.214999999831, 199979
29, 200000, O0, no_simplification, 7111.001999998479, 7300.66899999926, 5870.908000000341, 6125.327999999541, 199980
30, 200000, O0, no_simplification, 6792.729000000719, 8105.528999999834, 4888.168000000804, 5346.4280000010685, 199979
31, 200000, O0, no_simplification, 6961.931999999393, 7164.546000000271, 6067.249000000885, 6365.99199999921, 199979
32, 200000, O0, no_simplification, 7103.494999999071, 7337.31399999904, 5945.213999998699, 6714.898000000247, 199983
33, 200000, O0, no_simplification, 7228.95300000026, 7433.307999999528, 5989.978000000562, 6284.30100000088, 199982
34, 200000, O0, no_simplification, 7232.316999999711, 8421.509999999798, 5874.240999999003, 6331.259999999616, 199979
35, 200000, O0, no_simplification, 7376.100000000108, 7621.944000000269, 5972.400999999294, 6312.24099999983, 199977
36, 200000, O0, no_simplification, 6874.679000000939, 7050.640999999303, 5797.40800000117, 6020.213000001107, 199979
37, 200000, O0, no_simplification, 7175.160999999263, 7360.315999999756, 5959.782999999774, 6184.233000000816, 199977
38, 200000, O0, no_simplification, 7229.74700000023, 7783.349000000328, 5857.718999999762, 6133.661999999873, 199979
39, 200000, O0, no_simplification, 7070.656999999869, 7236.852000000127, 5845.461999999912, 6077.7810000001155, 199979
40, 200000, O0, no_simplification, 7157.004999999827, 7818.128000000257, 5762.321000000626, 6166.082000000017, 199980
41, 200000, O0, no_simplification, 7025.767000000016, 7198.30699999946, 6032.321999999368, 6318.12399999987, 199980
42, 200000, O0, no_simplification, 6978.008999999119, 7181.794999999269, 5809.980000000436, 6079.570999999007, 199979
43, 200000, O0, no_simplification, 6918.962000000306, 7104.097999999226, 5680.748000001401, 5910.456000000508, 199978
44, 200000, O0, no_simplification, 6152.199000000635, 6326.78999999925, 4932.440000001037, 5236.638000001292, 199981
45, 200000, O0, no_simplification, 7068.245999999334, 7266.555999999369, 5936.391000000541, 6178.837000000214, 199977
46, 200000, O0, no_simplification, 7107.094999998509, 7310.226999999614, 5816.784999998603, 6038.438999999229, 199982
47, 200000, O0, no_simplification, 6919.145999999543, 7606.183000000045, 5850.782000001331, 6099.238000000895, 199981
48, 200000, O0, no_simplification, 7937.225999999242, 8103.113999998967, 6065.254000001019, 6604.679000000502, 199976
49, 200000, O0, no_simplification, 7116.7610000006935, 7285.5480000004745, 5768.568000000585, 6078.815000000403, 199982
50, 200000, O0, no_simplification, 7115.962000000309, 7284.4209999995965, 5775.209000001169, 6035.673000001296, 199976
51, 200000, O0, no_simplification, 6941.969999999742, 7117.414999999738, 5919.396999999549, 6139.561999999543, 199978
52, 200000, O0, no_simplification, 7190.396000000376, 7850.601999999541, 5921.354999999906, 6317.371999999821, 199982
53, 200000, O0, no_simplification, 7073.692999998826, 7248.163999999946, 5782.005999998674, 6009.906999999259, 199981
54, 200000, O0, no_simplification, 6972.345999999518, 7155.113999999685, 5723.237999999853, 5939.704999999407, 199983
55, 200000, O0, no_simplification, 7135.818000000071, 7318.509999999279, 5848.148000000108, 6071.385000000262, 199982
