iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 400000, O0, no_simplification, 25189.621, 35783.1, 18773.86400000003, 20821.278, 0
1, 400000, O0, no_simplification, 17082.55000000003, 18228.87200000034, 17056.624999999938, 18374.27800000002, 0
2, 400000, O0, no_simplification, 17526.8510000004, 20535.34200000051, 17332.091000000106, 19998.671999999828, 0
3, 400000, O0, no_simplification, 17447.748000000374, 18452.607000000397, 17147.725999999253, 18269.890999999207, 0
4, 400000, O0, no_simplification, 15157.737999999199, 16062.459000000474, 15078.378000000115, 15922.886000000248, 0
5, 400000, O0, no_simplification, 14969.583999999259, 15526.692999999981, 15251.062999999122, 16106.97499999958, 0
6, 400000, O0, no_simplification, 15165.813000001193, 15983.746999999938, 15232.925000001174, 15874.517000000309, 0
7, 400000, O0, no_simplification, 15091.226999999208, 15889.225999998758, 15448.211999999017, 16300.524000001815, 0
8, 400000, O0, no_simplification, 15231.2220000006, 16011.913999999904, 14755.863000001313, 15405.704000002628, 0
9, 400000, O0, no_simplification, 15333.519999998658, 16663.69699999848, 15288.035000001088, 16117.189999999226, 0
10, 400000, O0, no_simplification, 18191.703999999474, 22279.45699999978, 17049.184000001107, 19257.046999999973, 0
11, 400000, O0, no_simplification, 15584.268999997874, 16257.015999997293, 16666.801999999592, 17108.56699999752, 0
12, 400000, O0, no_simplification, 17092.404999999642, 18578.00899999873, 16732.796999999522, 18480.93299999931, 0
13, 400000, O0, no_simplification, 16738.766999999654, 17183.448999997352, 17183.231000000633, 17536.710000001676, 0
14, 400000, O0, no_simplification, 16466.48400000217, 16724.01100000087, 16715.721999997157, 17261.774999997924, 0
15, 400000, O0, no_simplification, 16605.07600000116, 17036.520000001332, 16748.50299999875, 17102.822999998323, 0
16, 400000, O0, no_simplification, 16749.514000000687, 16993.315000000563, 17137.508000001133, 17860.2440000013, 0
17, 400000, O0, no_simplification, 18414.31099999724, 23889.250999999946, 16970.445999998417, 17908.3509999991, 0
18, 400000, O0, no_simplification, 16903.357000000342, 17198.334999999788, 16667.613999999274, 16975.597999998372, 0
19, 400000, O0, no_simplification, 17089.201999993973, 18508.959999998355, 17023.940999997933, 17647.52399999736, 0
20, 400000, O0, no_simplification, 16422.148000003745, 16683.776000000704, 16706.11800000188, 17012.0539999985, 0
21, 400000, O0, no_simplification, 16456.43799999874, 16672.903999996437, 16774.469000004898, 17072.679000001757, 0
22, 400000, O0, no_simplification, 16617.82199999351, 17639.070999997843, 16496.93999999613, 17040.229999999214, 0
23, 400000, O0, no_simplification, 16481.988999998975, 17071.202000003894, 16658.444000000825, 17133.444999998916, 0
24, 400000, O0, no_simplification, 14771.104000004698, 14979.98300000347, 16407.483999998363, 17195.12300000048, 0
25, 400000, O0, no_simplification, 16434.86300000063, 16876.11599999883, 16639.51199999758, 16945.077000002584, 0
26, 400000, O0, no_simplification, 16204.226999995797, 16410.2179999972, 16540.87699999707, 16845.048000000417, 0
27, 400000, O0, no_simplification, 16696.58699999843, 16931.417999998645, 16583.187999998474, 17107.03700000238, 0
28, 400000, O0, no_simplification, 16632.312999995236, 17709.0849999999, 16534.06600000551, 17516.5530000001, 0
29, 400000, O0, no_simplification, 16797.220000000834, 17051.019000000168, 16755.50299999884, 17067.253000000448, 0
30, 400000, O0, no_simplification, 16554.474000002985, 16768.066000004466, 16639.99399999483, 17278.69999999854, 0
31, 400000, O0, no_simplification, 16722.340000001168, 17131.745999996896, 16614.18800000547, 16966.209000003117, 0
32, 400000, O0, no_simplification, 16522.707000000024, 16764.26200000236, 16418.232999996006, 16717.409999998268, 0
33, 400000, O0, no_simplification, 16461.642000002998, 16664.453000004185, 16337.022999998397, 16633.159000001284, 0
34, 400000, O0, no_simplification, 16451.337999995987, 16983.207999999195, 16480.614999998976, 16970.884000002683, 0
35, 400000, O0, no_simplification, 16462.169999996946, 16744.90199999923, 16602.053999996257, 17064.972000000012, 0
36, 400000, O0, no_simplification, 16580.111000003228, 16799.109000004362, 16157.242000005568, 16453.03300000478, 0
37, 400000, O0, no_simplification, 16746.554000000913, 17170.845999999074, 16521.818000001076, 17011.6469999968, 0
38, 400000, O0, no_simplification, 16558.118999995488, 17005.72200000039, 16360.21200000215, 16686.194999998348, 0
39, 400000, O0, no_simplification, 16417.66300000569, 16784.51800000147, 16683.122999999967, 17558.60400000131, 0
40, 400000, O0, no_simplification, 16569.08300000026, 16814.060999998048, 16520.980999999323, 17480.096999996418, 0
41, 400000, O0, no_simplification, 16587.874999999032, 16964.027999996746, 16581.188000003523, 16870.83400000233, 0
42, 400000, O0, no_simplification, 16082.3590000021, 16283.913000002314, 16457.68899999922, 16767.058999995756, 0
43, 400000, O0, no_simplification, 16589.177000000178, 16786.289999998873, 16692.339999998752, 16992.87699999985, 0
44, 400000, O0, no_simplification, 16576.009999994312, 16948.399000000336, 16454.573000004304, 17025.348000004215, 0
45, 400000, O0, no_simplification, 16799.083999998744, 17031.136999989372, 16434.27800000552, 16749.04099999708, 0
46, 400000, O0, no_simplification, 16154.748999994696, 16358.44999999847, 16496.301000003656, 16783.5029999992, 0
47, 400000, O0, no_simplification, 16361.949000000208, 16559.59800000062, 15352.898999992703, 15679.759999997601, 0
48, 400000, O0, no_simplification, 16363.570000009986, 16759.013000012146, 16510.346000004007, 16965.967000004413, 0
49, 400000, O0, no_simplification, 16516.901000002803, 16715.49300000663, 16787.49900000298, 17075.25300000157, 0
50, 400000, O0, no_simplification, 16220.27099999457, 16419.3069999925, 16562.174000000596, 16849.441999994495, 0
51, 400000, O0, no_simplification, 16267.724000002203, 16467.356999996242, 16553.539999989654, 17007.878999990568, 0
52, 400000, O0, no_simplification, 15950.621000001775, 16311.862999998539, 16457.81199999874, 16751.27800000098, 0
53, 400000, O0, no_simplification, 16332.172000005585, 16534.50700000292, 16765.59800000632, 17060.895000000186, 0
54, 400000, O0, no_simplification, 16332.640000001675, 16526.63800000198, 16721.91299999781, 17009.38500000859, 0
55, 400000, O0, no_simplification, 16610.800999998788, 16810.8709999899, 16518.258999994374, 16965.461999987496, 0
56, 400000, O0, no_simplification, 16482.231999987107, 16854.59799999478, 16415.78100000629, 16756.3739999963, 0
57, 400000, O0, no_simplification, 16134.587999999894, 16369.855999997184, 16463.806999993834, 16761.551999991298, 0
58, 400000, O0, no_simplification, 16408.86100000216, 16642.13799999459, 16490.63100001058, 16840.306000005967, 0
59, 400000, O0, no_simplification, 16350.312000000144, 16570.627999996646, 19681.93599999779, 20210.93900000892, 0
60, 400000, O0, no_simplification, 16382.311000000982, 17223.40099999542, 16587.59099998974, 17598.215999996115, 0
61, 400000, O0, no_simplification, 16364.443000000505, 16602.65700000707, 16357.874999997079, 16649.819999997817, 0
62, 400000, O0, no_simplification, 16270.658999999909, 16472.880999998553, 16768.556000002376, 17118.311999993806, 0
63, 400000, O0, no_simplification, 16866.74200000482, 17076.65600000041, 16881.57200000262, 17651.74300000183, 0
64, 400000, O0, no_simplification, 16521.910999998112, 17415.068999994786, 16693.06899999867, 16988.428000004773, 0
65, 400000, O0, no_simplification, 16612.349000013182, 16806.952000010257, 16574.714999990192, 16859.447000001637, 0
66, 400000, O0, no_simplification, 16129.861999999663, 16324.73899999809, 16429.23400000029, 16724.800999995183, 0
67, 400000, O0, no_simplification, 16331.086999997524, 16529.37500000462, 16752.881000002162, 17208.02300000912, 0
68, 400000, O0, no_simplification, 16519.53200000378, 16884.883000003014, 16315.996999992421, 16612.528999999653, 0
69, 400000, O0, no_simplification, 16434.480000000916, 16631.441000001247, 16364.625000008458, 16669.997999997577, 0
70, 400000, O0, no_simplification, 16680.550999993215, 16875.70799998639, 16377.968000000465, 16667.385000005197, 0
71, 400000, O0, no_simplification, 16502.84199999419, 16694.27399998824, 14793.71799999285, 15083.216999997261, 0
72, 400000, O0, no_simplification, 16224.067999999646, 16589.31000000052, 16289.89900000022, 16743.789999992485, 0
73, 400000, O0, no_simplification, 17139.595999992707, 17344.11799999691, 16416.723999995498, 16727.346999999783, 0
74, 400000, O0, no_simplification, 16442.867000009188, 16639.476000008814, 16293.060999998943, 16592.04099999556, 0
75, 400000, O0, no_simplification, 16342.035000008082, 16538.01199999805, 16516.07099999808, 16820.458999987408, 0
76, 400000, O0, no_simplification, 16402.2459999984, 16793.093000003977, 16516.941000006114, 16972.895999998625, 0
77, 400000, O0, no_simplification, 16416.934000005767, 16614.763999996285, 16731.308999993642, 17056.940999992774, 0
78, 400000, O0, no_simplification, 16371.476000003327, 16568.972000001737, 16345.094000001836, 16648.532000004932, 0
79, 400000, O0, no_simplification, 16562.10599999497, 16757.23900000037, 16236.847000001831, 16604.127000007906, 0
80, 400000, O0, no_simplification, 16543.1579999904, 16918.158999999378, 16477.729000001775, 16921.938999999496, 0
81, 400000, O0, no_simplification, 16413.16999999276, 16638.536999991516, 16122.803000001795, 16409.769000006236, 0
82, 400000, O0, no_simplification, 16250.720000002162, 16452.026999999704, 16341.977999999814, 16629.87699999974, 0
83, 400000, O0, no_simplification, 16348.549999989358, 16547.473999992235, 16623.289000008866, 17076.631000009, 0
84, 400000, O0, no_simplification, 16735.22999999477, 17113.55799999126, 17228.56399999273, 17575.37000000298, 0
85, 400000, O0, no_simplification, 16698.281999993014, 16947.336999990624, 16368.0539999973, 16660.591000004388, 0
86, 400000, O0, no_simplification, 16629.94200000867, 17093.925000011724, 16346.771000002036, 16687.957999991453, 0
87, 400000, O0, no_simplification, 16766.44099998725, 17990.74399998801, 16761.188000003815, 17503.153999996357, 0
88, 400000, O0, no_simplification, 16472.407999998497, 16688.45799999019, 16373.738999988063, 16665.83899999807, 0
89, 400000, O0, no_simplification, 16690.934000010315, 16888.75000000678, 16432.71599999707, 16728.14500000186, 0
90, 400000, O0, no_simplification, 16089.561999990565, 16289.52499999059, 16393.328999996014, 16678.415000001223, 0
91, 400000, O0, no_simplification, 16128.784000002837, 16555.53899999518, 16288.57000000039, 16750.32900000417, 0
92, 400000, O0, no_simplification, 16114.758999989932, 16313.206999996055, 16483.66700000281, 16769.850999992286, 0
93, 400000, O0, no_simplification, 16356.0089999919, 16593.56499999376, 16469.71400001007, 16751.14800001154, 0
94, 400000, O0, no_simplification, 16389.079999981957, 16733.064999982616, 16557.019000003947, 17005.14200001635, 0
95, 400000, O0, no_simplification, 16571.174000006293, 16768.38299999872, 16460.208000012244, 16755.184000004418, 0
96, 400000, O0, no_simplification, 16460.751000010987, 16648.30999999367, 16722.1819999952, 17050.705000002607, 0
97, 400000, O0, no_simplification, 16355.3939999872, 16565.4639999957, 16798.378000004275, 17255.208000023005, 0
98, 400000, O0, no_simplification, 16416.815000013685, 16866.98500000716, 16287.058999978399, 16600.00599997602, 0
99, 400000, O0, no_simplification, 16557.278999982827, 16760.34899998058, 16548.83500000892, 16876.021999991055, 0
0, 400000, O0, simplify_accesses, 23900.441000000003, 32123.001000000004, 18667.760000000035, 20714.67599999999, 0
1, 400000, O0, simplify_accesses, 15346.999999999778, 16326.18699999977, 17365.351000000028, 20935.2599999999, 0
2, 400000, O0, simplify_accesses, 17852.044999999707, 23188.71800000011, 16744.179999999888, 18126.046999999977, 0
3, 400000, O0, simplify_accesses, 18049.701000000696, 22461.90400000003, 17422.113000000296, 19849.806999999942, 0
4, 400000, O0, simplify_accesses, 16985.753000000157, 17872.35400000142, 17046.395999999575, 19046.651000000027, 0
5, 400000, O0, simplify_accesses, 17379.795000000086, 20982.117000000853, 17131.81900000116, 18219.227000001225, 0
6, 400000, O0, simplify_accesses, 17274.09400000113, 18997.61600000005, 16079.033000000465, 18377.6739999999, 0
7, 400000, O0, simplify_accesses, 16898.13499999815, 17658.630999999757, 16625.65299999841, 17326.719999999797, 0
