iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 100000, O0, no_simplification, 23575.777000000002, 34675.529, 8914.810999999994, 10778.898999999981, 0
1, 100000, O0, no_simplification, 19163.179999999946, 19739.112999999976, 8328.263000000003, 8903.773999999976, 0
2, 100000, O0, no_simplification, 19221.914000000063, 19708.008999999915, 8225.842000000095, 8766.255000000056, 0
3, 100000, O0, no_simplification, 19034.970000000096, 19429.80799999994, 8134.241999999903, 8505.044000000073, 0
4, 100000, O0, no_simplification, 19233.955999999886, 19539.400999999845, 8178.290999999671, 8529.078000000023, 0
5, 100000, O0, no_simplification, 19070.371999999836, 19453.472999999998, 8058.370000000093, 8509.582000000293, 0
6, 100000, O0, no_simplification, 19008.059999999994, 19449.670000000195, 8404.579000000023, 8843.322999999791, 0
7, 100000, O0, no_simplification, 19226.52899999999, 19709.68200000023, 8253.944999999874, 8707.638000000185, 0
8, 100000, O0, no_simplification, 19135.835999999796, 19859.680999999797, 8233.124999999842, 8846.081999999811, 0
9, 100000, O0, no_simplification, 19123.47499999978, 19527.209999999683, 8162.431999999775, 8579.07099999977, 0
10, 100000, O0, no_simplification, 19169.092000000277, 19484.41600000006, 8202.003000000068, 8545.105000000052, 0
11, 100000, O0, no_simplification, 19243.89199999954, 19565.809999999572, 8191.797999999473, 8531.306999999266, 0
12, 100000, O0, no_simplification, 19178.131999999514, 19499.5389999999, 8244.636999999777, 8652.051999999521, 0
13, 100000, O0, no_simplification, 19262.522000000004, 19632.87600000019, 8191.476000000364, 8530.251999999906, 0
14, 100000, O0, no_simplification, 19102.99099999957, 19374.382999999718, 8252.500999999413, 8640.639999999423, 0
15, 100000, O0, no_simplification, 18872.50800000029, 19166.89299999952, 8113.589999999782, 8437.019999999684, 0
16, 100000, O0, no_simplification, 19059.539999999764, 19361.083999999806, 8149.6359999997385, 8529.506999999548, 0
