iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 1000000, O0, no_simplification, 6862.892000000001, 15133.98, 2766.9370000000004, 4528.980999999998, 1
1, 1000000, O0, no_simplification, 2922.494999999997, 3434.6799999999953, 2445.789000000004, 2968.0509999999995, 1
2, 1000000, O0, no_simplification, 3036.5039999999954, 3514.0160000000087, 2441.047000000002, 2920.3319999999976, 1
3, 1000000, O0, no_simplification, 2983.679000000017, 3408.5139999999737, 2479.875999999992, 2890.408999999983, 1
4, 1000000, O0, no_simplification, 2772.672999999948, 3162.333999999989, 2431.809000000007, 2819.673999999994, 1
5, 1000000, O0, no_simplification, 2899.7629999999995, 3240.35100000003, 2300.331999999905, 2698.6619999999075, 1
6, 1000000, O0, no_simplification, 2872.114999999953, 3286.153000000014, 2389.8549999999964, 2807.7330000000343, 1
7, 1000000, O0, no_simplification, 3004.089000000043, 3335.6720000000673, 2443.2709999999693, 2880.208999999967, 1
8, 1000000, O0, no_simplification, 2790.727999999909, 3135.7039999999615, 2459.63700000007, 2846.926999999999, 1
9, 1000000, O0, no_simplification, 2968.2529999999206, 3285.30199999999, 2483.1400000000503, 2891.733999999979, 1
10, 1000000, O0, no_simplification, 2911.977999999982, 3335.423999999976, 2447.605000000075, 2939.711999999983, 1
11, 1000000, O0, no_simplification, 2733.536999999897, 3050.777999999976, 2397.836999999958, 2761.862000000059, 1
12, 1000000, O0, no_simplification, 2770.37400000002, 3079.06899999999, 2370.6139999999377, 2744.426000000022, 1
13, 1000000, O0, no_simplification, 3074.0000000000214, 3384.5939999999073, 2345.69699999998, 2719.8189999999568, 1
14, 1000000, O0, no_simplification, 2995.7940000000517, 3295.336000000093, 2464.513999999918, 2850.564999999916, 1
15, 1000000, O0, no_simplification, 2851.7300000001633, 3321.5380000000127, 2424.9569999998944, 2827.0189999999307, 1
16, 1000000, O0, no_simplification, 2982.185000000026, 3513.699999999842, 2447.4979999999923, 2897.2489999998797, 1
17, 1000000, O0, no_simplification, 2955.397999999887, 3449.2669999999225, 2482.034000000022, 2914.6059999998197, 1
18, 1000000, O0, no_simplification, 2863.8770000000145, 3172.798000000032, 2451.9940000000684, 2813.7779999999334, 1
19, 1000000, O0, no_simplification, 2903.5699999999665, 3177.650000000032, 2422.50300000002, 2773.439000000044, 1
20, 1000000, O0, no_simplification, 2933.9329999999995, 3402.077000000059, 2344.9060000000354, 2773.0070000000496, 1
21, 1000000, O0, no_simplification, 2485.7389999999314, 2819.7409999999313, 2136.292999999956, 2522.7260000000306, 1
22, 1000000, O0, no_simplification, 2887.7860000000587, 3194.5850000001387, 2345.561999999912, 2715.652000000013, 1
23, 1000000, O0, no_simplification, 2823.1609999997963, 3113.9929999999263, 2496.119999999991, 2841.555999999912, 1
24, 1000000, O0, no_simplification, 2892.5470000000787, 3186.7260000000288, 2373.6420000002313, 2715.2470000002536, 1
25, 1000000, O0, no_simplification, 3005.9840000000727, 3845.935999999828, 2423.3439999998827, 2919.2479999999855, 1
26, 1000000, O0, no_simplification, 2860.9949999998107, 3364.1119999998637, 2447.933000000013, 2828.9559999996604, 1
27, 1000000, O0, no_simplification, 2900.753000000034, 3312.163000000368, 2378.6319999996585, 2763.212999999709, 1
28, 1000000, O0, no_simplification, 2917.3220000000556, 3259.2220000000616, 2419.4539999999874, 2836.0190000000784, 1
29, 1000000, O0, no_simplification, 2941.498000000209, 3271.620000000031, 2433.668000000111, 2815.227000000142, 1
30, 1000000, O0, no_simplification, 2992.4889999999314, 3709.5119999999147, 2406.967999999843, 2802.3980000000392, 1
31, 1000000, O0, no_simplification, 2888.049000000059, 3161.219000000326, 2434.5900000000142, 2805.4640000001464, 1
32, 1000000, O0, no_simplification, 2996.298999999869, 3580.4569999999812, 2363.6680000000965, 2837.036999999931, 1
33, 1000000, O0, no_simplification, 3047.108999999715, 3507.3859999998904, 2418.83300000012, 2844.6749999999633, 1
34, 1000000, O0, no_simplification, 2802.63699999983, 3243.014999999794, 2465.9219999998427, 2906.0949999997197, 1
35, 1000000, O0, no_simplification, 3118.0019999998976, 3564.581000000011, 2441.458000000285, 2842.430999999923, 1
36, 1000000, O0, no_simplification, 2882.575999999748, 3118.1049999999823, 2446.047999999923, 2638.463999999896, 1
37, 1000000, O0, no_simplification, 3035.337000000027, 3235.3189999998476, 2383.574999999638, 2604.8149999997604, 1
38, 1000000, O0, no_simplification, 2879.4510000000882, 3009.9130000000864, 2347.853999999927, 2530.9620000002474, 1
39, 1000000, O0, no_simplification, 2857.4130000000864, 2964.548000000011, 2398.305999999906, 2577.651000000181, 1
40, 1000000, O0, no_simplification, 2838.1689999998903, 2939.9680000001817, 2333.684999999974, 2495.376999999799, 1
41, 1000000, O0, no_simplification, 2899.7429999999545, 2988.8949999996585, 2364.991000000316, 2507.652000000249, 1
42, 1000000, O0, no_simplification, 2915.2450000000663, 3159.064999999739, 2371.9170000000568, 2546.2570000001074, 1
43, 1000000, O0, no_simplification, 2744.3300000005165, 2830.1700000001874, 2334.025999999767, 2467.0890000004774, 1
44, 1000000, O0, no_simplification, 3025.0830000007054, 3108.7279999999496, 2325.923999999979, 2524.081999999872, 1
45, 1000000, O0, no_simplification, 2955.544000000643, 3432.4010000004178, 2399.3920000000558, 2618.3620000006513, 1
46, 1000000, O0, no_simplification, 2821.4229999994345, 2960.183999999977, 2435.21400000013, 2580.184000000152, 1
47, 1000000, O0, no_simplification, 2898.700000000254, 2993.114000000574, 2366.851000000558, 2503.192999999904, 1
48, 1000000, O0, no_simplification, 3185.1050000000214, 4668.230999999246, 2399.387999999725, 2817.1839999995286, 1
49, 1000000, O0, no_simplification, 2903.3529999997754, 2994.8959999996914, 2324.6060000001735, 2457.9729999993915, 1
50, 1000000, O0, no_simplification, 2803.950999999749, 2888.7890000000025, 2305.617000000204, 2439.9139999999875, 1
51, 1000000, O0, no_simplification, 2943.428000000026, 3083.677000000229, 2361.778999999231, 2697.1670000000004, 1
52, 1000000, O0, no_simplification, 2964.5820000006042, 3054.9960000003653, 2394.7419999998942, 2529.413999999619, 1
53, 1000000, O0, no_simplification, 2844.984000000217, 2937.6770000002493, 2260.167999999396, 2392.3659999995907, 1
54, 1000000, O0, no_simplification, 2820.1379999996943, 2913.1659999999115, 2353.57299999972, 2499.723999999759, 1
55, 1000000, O0, no_simplification, 2461.9670000003425, 3053.2489999997024, 2109.2220000005213, 2241.6300000003275, 1
56, 1000000, O0, no_simplification, 3138.9529999996666, 3223.6189999998996, 2403.432999999566, 2556.7139999997935, 1
57, 1000000, O0, no_simplification, 2870.0430000005995, 2977.2760000001954, 2362.0639999997193, 2505.873999999686, 1
58, 1000000, O0, no_simplification, 2848.8109999997846, 2951.8199999998274, 2453.9450000000684, 2618.6190000005995, 1
59, 1000000, O0, no_simplification, 2801.848999999912, 2893.4669999998164, 2360.011000000384, 2508.5840000000912, 1
60, 1000000, O0, no_simplification, 2914.6400000001904, 2996.407000000367, 2398.868999999415, 2560.606999999493, 1
61, 1000000, O0, no_simplification, 2851.3240000007654, 2933.0520000003803, 2319.174000000146, 2452.468999999624, 1
62, 1000000, O0, no_simplification, 2761.7480000001747, 2845.932000000495, 2343.5860000002863, 2492.5280000003268, 1
63, 1000000, O0, no_simplification, 2925.284999999889, 3029.8810000006783, 2528.2539999995633, 2720.0839999999007, 1
64, 1000000, O0, no_simplification, 2731.970000000139, 2819.3490000001375, 2352.379000000404, 2487.7950000004034, 1
65, 1000000, O0, no_simplification, 2930.247000000108, 3276.983000000122, 2325.9989999999675, 2533.3950000003824, 1
66, 1000000, O0, no_simplification, 2673.2750000002525, 2755.738000000285, 2295.5019999999495, 2427.209999999569, 1
67, 1000000, O0, no_simplification, 2905.8649999997856, 2987.3230000001527, 2343.641000000396, 2469.976000000429, 1
68, 1000000, O0, no_simplification, 2843.53500000023, 2926.092000000047, 2382.0959999998336, 2508.9349999998235, 1
69, 1000000, O0, no_simplification, 2927.828999999882, 3504.1239999999975, 2405.3899999998407, 2713.995999999774, 1
70, 1000000, O0, no_simplification, 2930.9839999998035, 3012.614999999386, 2300.20599999925, 2426.297999999605, 1
71, 1000000, O0, no_simplification, 2875.0740000003107, 2956.0259999996674, 2335.5630000008177, 2460.336000000396, 1
72, 1000000, O0, no_simplification, 2891.3199999998087, 2972.8029999995797, 2345.5419999995897, 2473.400999999598, 1
73, 1000000, O0, no_simplification, 2758.4699999998466, 2838.327999999279, 2293.301999999997, 2442.6370000005804, 1
74, 1000000, O0, no_simplification, 2863.5519999999915, 2970.42900000033, 2425.128999999693, 2554.347999999429, 1
75, 1000000, O0, no_simplification, 2905.5150000001363, 3002.190000000127, 2435.3520000000017, 2571.3139999998803, 1
