iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 1000000, O0, no_simplification, 6857.647000000002, 15937.867000000002, 2846.2229999999986, 4513.784, 1
1, 1000000, O0, no_simplification, 2814.3850000000025, 3395.7520000000018, 2440.380000000006, 2993.4530000000073, 1
2, 1000000, O0, no_simplification, 2770.2880000000096, 3380.3480000000054, 2424.6340000000087, 2949.6280000000097, 1
3, 1000000, O0, no_simplification, 2791.7590000000046, 3351.79200000002, 2535.475999999981, 3008.5009999999966, 1
4, 1000000, O0, no_simplification, 2730.495999999971, 3201.688999999952, 2372.7350000000147, 2848.5380000000114, 1
5, 1000000, O0, no_simplification, 2697.3849999999966, 3149.704999999947, 2403.0440000000763, 2872.5850000000387, 1
6, 1000000, O0, no_simplification, 2774.924999999984, 3298.584000000049, 2429.878000000052, 2890.873000000016, 1
7, 1000000, O0, no_simplification, 2830.1390000000647, 3298.1100000000206, 2365.5569999999625, 2880.0340000000315, 1
8, 1000000, O0, no_simplification, 2673.730000000041, 3210.771000000001, 2325.8940000000507, 2785.664000000021, 1
9, 1000000, O0, no_simplification, 2743.6829999999413, 3504.855999999945, 2518.309000000052, 3029.1089999999745, 1
10, 1000000, O0, no_simplification, 2860.6959999999403, 3285.8040000000033, 2395.036999999989, 2904.3909999999505, 1
11, 1000000, O0, no_simplification, 2738.879000000027, 3084.6449999999413, 2440.0119999998806, 2819.954999999874, 1
12, 1000000, O0, no_simplification, 2698.988999999985, 3053.586999999913, 2374.1979999998275, 2785.6759999997926, 1
13, 1000000, O0, no_simplification, 2799.8300000000586, 3153.4660000001045, 2414.0879999998697, 2795.0719999998432, 1
14, 1000000, O0, no_simplification, 2797.004000000047, 3143.3280000001673, 2386.047999999974, 2782.9900000000407, 1
15, 1000000, O0, no_simplification, 2669.3700000000044, 3037.6299999999023, 2384.7239999998937, 2752.90100000003, 1
16, 1000000, O0, no_simplification, 2777.016000000021, 3159.1749999999583, 2391.9440000002014, 2754.337000000051, 1
17, 1000000, O0, no_simplification, 2828.021000000014, 3151.2270000000344, 2442.5710000000045, 2831.9100000000485, 1
18, 1000000, O0, no_simplification, 2657.9799999999486, 3003.1360000000172, 2399.1379999999117, 2757.595000000057, 1
19, 1000000, O0, no_simplification, 2716.2210000000186, 3012.6340000000696, 2388.7030000000477, 2783.0200000000805, 1
20, 1000000, O0, no_simplification, 2609.614000000038, 2920.2470000000426, 2306.5740000001165, 2634.236000000012, 1
21, 1000000, O0, no_simplification, 2642.9510000003374, 2938.992000000251, 2342.2129999999265, 2659.664999999922, 1
22, 1000000, O0, no_simplification, 2450.5920000001956, 2773.522000000028, 2236.8200000002503, 2585.1120000002225, 1
23, 1000000, O0, no_simplification, 2644.842000000036, 2951.050000000066, 2427.366000000042, 2761.5650000001324, 1
24, 1000000, O0, no_simplification, 2765.283000000007, 3122.8680000001673, 2409.9369999999176, 2757.866000000053, 1
25, 1000000, O0, no_simplification, 2723.655000000047, 3019.393999999842, 2396.630999999871, 2713.3070000000534, 1
26, 1000000, O0, no_simplification, 2665.07299999974, 3467.3960000000116, 2419.63700000003, 2959.516999999856, 1
27, 1000000, O0, no_simplification, 2712.0050000002393, 3118.3860000001396, 2423.3959999997446, 2833.9729999999895, 1
28, 1000000, O0, no_simplification, 2789.447000000056, 3230.9619999999486, 2363.738999999754, 2777.819999999931, 1
29, 1000000, O0, no_simplification, 2585.985999999707, 3084.8869999999806, 2239.630000000048, 2695.2289999999657, 1
30, 1000000, O0, no_simplification, 2437.3610000001377, 3173.6069999999117, 2281.087999999709, 2604.320999999743, 1
31, 1000000, O0, no_simplification, 2630.4880000003195, 3490.68900000038, 2373.7910000001248, 2959.6930000002076, 1
32, 1000000, O0, no_simplification, 2533.979999999936, 3005.326999999891, 2272.5510000003446, 2696.634000000309, 1
33, 1000000, O0, no_simplification, 2522.2410000003138, 2991.5229999999406, 2304.4539999999, 2722.109000000028, 1
34, 1000000, O0, no_simplification, 2503.2949999999055, 2830.858999999908, 2235.1470000003815, 2479.9870000000724, 1
35, 1000000, O0, no_simplification, 2541.9339999999124, 2761.6070000000545, 2221.2420000000675, 2505.654000000135, 1
36, 1000000, O0, no_simplification, 2485.989999999827, 2733.4119999999907, 2235.3279999998144, 2425.3079999998486, 1
37, 1000000, O0, no_simplification, 2544.150999999939, 2689.9899999999197, 2200.8590000002214, 2397.682000000234, 1
38, 1000000, O0, no_simplification, 2429.688999999957, 2570.2370000000305, 2293.223000000122, 2472.5190000003395, 1
39, 1000000, O0, no_simplification, 2435.184999999951, 2553.5609999995936, 2246.6480000002953, 2419.115999999999, 1
40, 1000000, O0, no_simplification, 2428.0469999999887, 2546.2560000000244, 2206.9249999998597, 2364.371999999726, 1
41, 1000000, O0, no_simplification, 2420.4710000002015, 2544.792000000129, 2184.2110000003245, 2333.473000000197, 1
42, 1000000, O0, no_simplification, 2377.6140000002497, 2488.422000000767, 2131.9460000004397, 2282.0320000001, 1
43, 1000000, O0, no_simplification, 2711.4109999999414, 3032.173000000249, 2492.037999999752, 2664.5749999998357, 1
44, 1000000, O0, no_simplification, 2494.6469999997944, 2602.3979999996172, 2267.5949999992895, 2442.7689999999557, 1
45, 1000000, O0, no_simplification, 2624.647000000202, 2872.227000000116, 2319.7939999999307, 2534.4369999995565, 1
46, 1000000, O0, no_simplification, 2535.7950000000073, 2644.3909999995794, 2285.5779999995107, 2457.002999999958, 1
47, 1000000, O0, no_simplification, 2517.128000000035, 2623.9929999993806, 2295.4290000001265, 2457.0769999998633, 1
48, 1000000, O0, no_simplification, 2488.451000000502, 2596.997000000378, 3438.6109999999803, 3589.056000000035, 1
49, 1000000, O0, no_simplification, 2653.3010000004965, 3541.6040000004755, 2376.4079999999412, 2848.1139999998463, 1
50, 1000000, O0, no_simplification, 2538.0969999995173, 2650.778999999659, 2253.9700000008265, 2408.2740000004324, 1
51, 1000000, O0, no_simplification, 2517.025000000395, 2629.9180000002307, 2260.3769999998135, 2411.2990000002555, 1
52, 1000000, O0, no_simplification, 2475.1749999998297, 2584.64699999994, 2252.973000000047, 2398.4040000000205, 1
53, 1000000, O0, no_simplification, 2484.2830000002537, 3604.488000000572, 2248.2400000001235, 2400.116000000452, 1
54, 1000000, O0, no_simplification, 2567.8860000004634, 2733.4589999998825, 2257.150000000152, 2454.7190000001606, 1
55, 1000000, O0, no_simplification, 2539.6909999999552, 2687.4810000006023, 2274.3539999998675, 2420.9170000002446, 1
56, 1000000, O0, no_simplification, 2532.493000000358, 2645.321000000145, 2233.445000000778, 2392.702000000746, 1
57, 1000000, O0, no_simplification, 2505.2719999996143, 2659.4250000000484, 2270.4230000005764, 2453.114000000589, 1
58, 1000000, O0, no_simplification, 2545.6799999998834, 2684.0879999996405, 2230.343999999995, 2407.9219999997295, 1
59, 1000000, O0, no_simplification, 2506.4700000001494, 2622.9759999996104, 2244.7279999999737, 2401.9829999994968, 1
60, 1000000, O0, no_simplification, 2583.548000000491, 2697.0220000004374, 2301.759000000736, 2451.8890000004844, 1
61, 1000000, O0, no_simplification, 2538.945000000403, 2640.987000000372, 2263.501000000723, 2407.9569999999608, 1
62, 1000000, O0, no_simplification, 2470.3319999996866, 2575.709000000259, 2244.589000000019, 2413.8830000000057, 1
63, 1000000, O0, no_simplification, 2574.4869999995144, 2706.0529999998193, 5670.438000000111, 5906.111999999908, 1
64, 1000000, O0, no_simplification, 2641.328000000165, 3220.579999999806, 2258.54800000036, 2468.1900000000924, 1
65, 1000000, O0, no_simplification, 2554.2590000000587, 2660.647999999988, 2228.8270000005996, 2390.034000000263, 1
66, 1000000, O0, no_simplification, 2478.1730000000834, 2587.719000000099, 2303.286000000071, 2446.280000000023, 1
67, 1000000, O0, no_simplification, 2538.767999999969, 2644.5200000004834, 2205.845999999845, 2354.4519999996182, 1
68, 1000000, O0, no_simplification, 2673.3949999995234, 3339.5880000002267, 2349.6579999999767, 2699.459999999654, 1
69, 1000000, O0, no_simplification, 2529.6569999992967, 2636.2319999995166, 2225.042000000066, 2365.465000000455, 1
70, 1000000, O0, no_simplification, 2520.1020000000794, 2621.5610000006604, 2293.76999999964, 2457.923999999778, 1
71, 1000000, O0, no_simplification, 2483.9840000003833, 2588.0340000004053, 2297.683000000106, 2441.1259999999047, 1
72, 1000000, O0, no_simplification, 2531.8700000003246, 2629.9960000004676, 2265.5499999997273, 2418.267999999557, 1
