iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 16777216, O0, no_simplification, 34465.216, 44166.893, 27680.964000000004, 30900.855000000003, 0
1, 16777216, O0, no_simplification, 25960.873999999912, 27036.163, 24853.748999999814, 25554.564999999973, 0
2, 16777216, O0, no_simplification, 25649.770999999877, 26748.033999999698, 23813.810000000045, 24307.816999999955, 0
3, 16777216, O0, no_simplification, 26054.784999999913, 27761.81599999994, 24518.245999999966, 24976.6629999999, 0
4, 16777216, O0, no_simplification, 25852.705000000144, 26633.979000000087, 23629.607000000164, 24142.45500000023, 0
5, 16777216, O0, no_simplification, 26421.98100000037, 27775.869000000064, 24369.563000000482, 25116.192000000483, 0
6, 16777216, O0, no_simplification, 25955.017000000247, 26972.623000000694, 24260.05900000039, 24740.593000000645, 0
7, 16777216, O0, no_simplification, 26359.09799999947, 27341.211999999614, 23901.28700000016, 24451.7670000004, 0
8, 16777216, O0, no_simplification, 26473.767999999785, 28701.111000000168, 23226.639999999854, 23886.542999999703, 0
9, 16777216, O0, no_simplification, 25969.41700000066, 26313.67700000098, 23902.267999998727, 25043.765999999578, 0
10, 16777216, O0, no_simplification, 25980.7349999992, 28435.68900000015, 23306.863000000176, 23986.067000000945, 0
11, 16777216, O0, no_simplification, 25698.873999999705, 26054.621000000112, 23603.709999999723, 23966.08299999947, 0
12, 16777216, O0, no_simplification, 25228.581000000362, 25756.870000000377, 23662.38199999948, 23902.24799999885, 0
13, 16777216, O0, no_simplification, 26552.14500000014, 27061.834000001283, 23824.764000000443, 24027.620000000028, 0
14, 16777216, O0, no_simplification, 26062.290999998793, 26235.219999998448, 23842.59399999955, 24068.227999999082, 0
15, 16777216, O0, no_simplification, 26381.775999999136, 26491.28399999867, 24085.844999998328, 24269.6649999985, 0
16, 16777216, O0, no_simplification, 25458.575000000037, 25564.641000000775, 24042.44600000105, 24197.6820000005, 0
17, 16777216, O0, no_simplification, 25705.731000002175, 26130.430000002038, 23815.229000000214, 24051.912000000895, 0
18, 16777216, O0, no_simplification, 25861.50999999859, 26553.92099999787, 23288.195999999316, 23570.011000000333, 0
19, 16777216, O0, no_simplification, 26010.68399999917, 26117.8849999979, 23330.746999999265, 23471.547999999842, 0
20, 16777216, O0, no_simplification, 26033.12300000127, 26128.020000001583, 24622.567000001538, 24766.975999998664, 0
21, 16777216, O0, no_simplification, 26066.16200000289, 26674.89800000311, 24137.576000001103, 24283.78100000117, 0
22, 16777216, O0, no_simplification, 25445.04899999822, 26066.99599999729, 22795.82500000288, 22936.08600000141, 0
23, 16777216, O0, no_simplification, 26028.04800000058, 26416.615999998783, 24193.978999999643, 24399.066999997387, 0
24, 16777216, O0, no_simplification, 25529.67100000103, 25657.18199999978, 23116.013999999297, 23278.12999999779, 0
25, 16777216, O0, no_simplification, 26374.22200000117, 26808.545999998045, 23508.949, 24002.370000001603, 0
26, 16777216, O0, no_simplification, 25600.947000000928, 25699.42799999936, 23661.384000000395, 23804.638999997962, 0
27, 16777216, O0, no_simplification, 25939.505000000197, 26039.012999998333, 23600.78699999946, 23758.32699999947, 0
28, 16777216, O0, no_simplification, 25465.443999998173, 25588.865999999656, 23400.614999999903, 23571.2079999999, 0
29, 16777216, O0, no_simplification, 25311.016999999934, 25419.34199999929, 24534.644999999244, 24679.1910000006, 0
30, 16777216, O0, no_simplification, 25613.907000000323, 25707.971999999303, 23566.03500000176, 23701.70800000082, 0
31, 16777216, O0, no_simplification, 25818.994000001538, 25920.147000000783, 23989.690000000508, 24157.293999998332, 0
32, 16777216, O0, no_simplification, 25761.81199999894, 25870.361999999146, 23259.24799999868, 23395.431000000855, 0
33, 16777216, O0, no_simplification, 25863.98699999748, 26261.319999999698, 23652.94799999873, 23903.251000000124, 0
34, 16777216, O0, no_simplification, 25924.533000001305, 26020.370000001236, 23294.92000000144, 23473.406000000807, 0
35, 16777216, O0, no_simplification, 25464.216999999677, 25618.516999998064, 23853.93100000499, 24097.681000000648, 0
36, 16777216, O0, no_simplification, 26182.556000001965, 26891.45100000445, 23182.20599999421, 23436.728000000072, 0
37, 16777216, O0, no_simplification, 26142.691999993418, 26234.424999998395, 23900.26299999448, 24092.751999994278, 0
38, 16777216, O0, no_simplification, 24869.293999998376, 24971.872000001837, 23062.0849999994, 23194.205999999438, 0
39, 16777216, O0, no_simplification, 25683.225999998172, 25779.93699999581, 24131.891000003237, 24263.772000004734, 0
40, 16777216, O0, no_simplification, 26052.59599999954, 26145.73800000386, 23563.41600000178, 23701.623000000895, 0
41, 16777216, O0, no_simplification, 25795.49699999717, 25897.73100000059, 23399.974000000155, 23547.927000002743, 0
42, 16777216, O0, no_simplification, 24973.77899999975, 25067.782000000705, 23246.389000000534, 23403.525000006197, 0
43, 16777216, O0, no_simplification, 25770.74999999951, 25866.962999998577, 24503.32500000485, 24651.029000004597, 0
44, 16777216, O0, no_simplification, 25602.372000001593, 25690.53600000615, 23034.971999997822, 23180.83399999438, 0
45, 16777216, O0, no_simplification, 25825.062999999205, 25956.612999998186, 23975.291999995818, 24155.487000001587, 0
46, 16777216, O0, no_simplification, 25514.291000000354, 25613.57200000458, 23517.998999999178, 23664.420000002905, 0
47, 16777216, O0, no_simplification, 25126.729000000127, 25252.737000002413, 24782.795999996666, 24943.366999998772, 0
48, 16777216, O0, no_simplification, 25344.631999999478, 25447.732000003496, 23580.220999996014, 23716.78499999774, 0
49, 16777216, O0, no_simplification, 26097.843999998815, 26487.411000005068, 23350.834999995128, 23528.336999994794, 0
50, 16777216, O0, no_simplification, 25774.70599999998, 25864.156000004357, 23528.144000003693, 23663.726999998857, 0
51, 16777216, O0, no_simplification, 25193.75499999654, 25282.543999999518, 23016.677999997624, 23146.619999998562, 0
52, 16777216, O0, no_simplification, 25166.751000000433, 25262.8109999975, 23867.32499999766, 24025.184999999285, 0
53, 16777216, O0, no_simplification, 25608.23900000031, 26044.22900000003, 23329.932000002886, 23518.330000001697, 0
54, 16777216, O0, no_simplification, 25789.858000003107, 25884.69100000168, 23136.47399999752, 23273.973999998532, 0
55, 16777216, O0, no_simplification, 25612.756000001013, 25699.254000002726, 22935.94100000007, 23069.476999999948, 0
56, 16777216, O0, no_simplification, 25781.262999998944, 25897.031999996045, 23752.987999998255, 24031.77699999759, 0
57, 16777216, O0, no_simplification, 25235.767000005184, 25361.90400000038, 23944.803999995656, 24099.279999994393, 0
58, 16777216, O0, no_simplification, 25372.063999995476, 25601.176999998643, 23770.147000000463, 24032.507999997677, 0
59, 16777216, O0, no_simplification, 25830.912000003536, 25956.567999998013, 23618.549999994797, 23784.328999994388, 0
60, 16777216, O0, no_simplification, 25449.84899999747, 25541.102999994793, 23560.834999997838, 23704.52099999909, 0
61, 16777216, O0, no_simplification, 26185.43300000198, 26273.810999995818, 23570.307999996487, 23710.19099999927, 0
62, 16777216, O0, no_simplification, 25196.25200000064, 25287.375000004886, 23498.619999998027, 23645.59699999802, 0
63, 16777216, O0, no_simplification, 25660.457000000748, 25760.417999997288, 23539.938999995513, 23717.581999996186, 0
64, 16777216, O0, no_simplification, 25885.162000001572, 25976.667000001897, 23807.95899999555, 23945.33100000018, 0
65, 16777216, O0, no_simplification, 25563.729000005253, 25652.458000003266, 23568.853000000447, 23705.72600000287, 0
66, 16777216, O0, no_simplification, 25619.743999996557, 25712.37400000115, 23760.32600000144, 23888.538000001347, 0
67, 16777216, O0, no_simplification, 26400.834999996903, 26509.4489999953, 23401.864000000216, 23534.290999997153, 0
68, 16777216, O0, no_simplification, 24957.890999999676, 25046.06400000142, 23427.12900000521, 23562.42400000497, 0
69, 16777216, O0, no_simplification, 25659.360000005905, 25744.55299999556, 23395.737000001303, 23528.243000001225, 0
70, 16777216, O0, no_simplification, 25884.884999996415, 25977.70599999194, 23653.558999995992, 23780.388000005813, 0
71, 16777216, O0, no_simplification, 26031.215999992695, 26117.458000001647, 24224.596999999903, 24359.418000003076, 0
72, 16777216, O0, no_simplification, 25573.94400000135, 25660.246000001054, 23528.08499999526, 23658.499999996253, 0
73, 16777216, O0, no_simplification, 26181.382000004305, 26272.352000006547, 23010.06300000097, 23141.459000001418, 0
74, 16777216, O0, no_simplification, 25487.09700000984, 25572.66100001243, 23397.974000005204, 23545.192000000272, 0
75, 16777216, O0, no_simplification, 25735.629999999786, 25855.38700000711, 23624.128999998105, 23776.780000005714, 0
76, 16777216, O0, no_simplification, 24935.657000000334, 25023.68400000421, 23213.82799999583, 23342.26899999692, 0
77, 16777216, O0, no_simplification, 25915.218999998047, 26000.132999996596, 24012.96000000741, 24167.26500000266, 0
78, 16777216, O0, no_simplification, 25205.968999998164, 25547.92899999825, 23255.386999991857, 23434.72299999405, 0
79, 16777216, O0, no_simplification, 26099.36800000412, 26185.73399999491, 22571.879999986777, 22699.857999995744, 0
80, 16777216, O0, no_simplification, 25305.58999998789, 25390.3710000003, 23351.18399999203, 23486.73599999529, 0
81, 16777216, O0, no_simplification, 25791.72199999391, 25883.996999993997, 23858.165000007146, 23984.02600000793, 0
82, 16777216, O0, no_simplification, 25706.222000010825, 25790.93900000373, 23356.03499999195, 23482.393999998407, 0
83, 16777216, O0, no_simplification, 26260.039000007397, 26372.819000002324, 24547.662000003358, 24696.44800000026, 0
84, 16777216, O0, no_simplification, 25519.39800000014, 25645.93200000331, 23526.594000003344, 23660.73000000313, 0
85, 16777216, O0, no_simplification, 26608.262999999966, 26703.796999996142, 23532.318999997413, 23684.005999996316, 0
86, 16777216, O0, no_simplification, 24978.046000001086, 25064.97000000252, 24001.73400000938, 24132.227999999144, 0
87, 16777216, O0, no_simplification, 25628.184999987978, 25714.663999991673, 23398.857999993084, 23533.770999989654, 0
88, 16777216, O0, no_simplification, 25622.788000006836, 25707.038000007287, 23704.051999999363, 23829.059999997073, 0
89, 16777216, O0, no_simplification, 24975.06500000668, 25345.155000010778, 23990.453999999772, 24152.917999998637, 0
90, 16777216, O0, no_simplification, 25482.128000007266, 25565.49400000563, 23107.873000000724, 23248.816000005943, 0
91, 16777216, O0, no_simplification, 25930.152000000817, 26014.031000002546, 24256.945999994172, 24391.233999992324, 0
92, 16777216, O0, no_simplification, 25854.097000006957, 25937.763000001723, 23655.25099999388, 23779.26399999808, 0
93, 16777216, O0, no_simplification, 25697.901999990336, 25781.641999998326, 23782.87599999851, 23909.217000010583, 0
94, 16777216, O0, no_simplification, 25325.915999999892, 25419.75399999785, 23679.059999992092, 23811.19699998635, 0
95, 16777216, O0, no_simplification, 25430.092000007677, 25586.266000004798, 23453.736000007553, 23725.52399999961, 0
96, 16777216, O0, no_simplification, 25730.981999998905, 25817.15799999529, 23728.503999990382, 23854.97899999223, 0
97, 16777216, O0, no_simplification, 25553.301999991618, 25638.65399999088, 24041.76999999663, 24176.58299999914, 0
98, 16777216, O0, no_simplification, 25255.32699999644, 25344.27700000208, 24430.758000008267, 24557.889999996973, 0
99, 16777216, O0, no_simplification, 26092.984000001707, 26177.982000007207, 24234.577000001424, 24372.05799999731, 0
0, 16777216, O0, simplify_accesses, 35085.3, 44834.389, 27843.870999999992, 29961.420000000002, 0
1, 16777216, O0, simplify_accesses, 29664.47700000008, 34504.150999999925, 24123.404999999875, 24812.832999999922, 0
2, 16777216, O0, simplify_accesses, 25787.87699999996, 26758.941999999843, 23996.30300000011, 24796.25700000021, 0
3, 16777216, O0, simplify_accesses, 26494.363999999936, 27101.846999999958, 23864.218000000383, 24313.731000000338, 0
4, 16777216, O0, simplify_accesses, 25705.826000000267, 26028.931000000364, 24337.32899999974, 24703.842999999724, 0
5, 16777216, O0, simplify_accesses, 25512.187999999547, 25820.537999999615, 24120.701999999383, 24494.900999999736, 0
6, 16777216, O0, simplify_accesses, 25637.31700000016, 26519.546000000282, 23282.09099999956, 23783.077999999237, 0
7, 16777216, O0, simplify_accesses, 26092.81299999999, 26428.993000000566, 24012.485000000084, 24462.40600000049, 0
8, 16777216, O0, simplify_accesses, 26169.860999999626, 26598.192999999883, 24428.225999999497, 24816.841999999895, 0
9, 16777216, O0, simplify_accesses, 25750.49699999887, 27140.00900000002, 23149.714000000542, 23799.134000000777, 0
10, 16777216, O0, simplify_accesses, 26761.621000000345, 27960.70199999967, 25154.074000001357, 28444.881000000423, 0
11, 16777216, O0, simplify_accesses, 25379.646999999393, 26836.46499999881, 23983.974000000075, 24379.372000000287, 0
12, 16777216, O0, simplify_accesses, 25868.52200000145, 26816.5180000004, 23926.27599999919, 24313.285999999935, 0
13, 16777216, O0, simplify_accesses, 25879.74799999948, 26041.371999999898, 24477.509000000453, 24651.57900000037, 0
14, 16777216, O0, simplify_accesses, 25635.766000000614, 25753.029000000537, 23474.73899999919, 23687.40900000077, 0
