iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 2000000, O0, no_simplification, 14074.308, 22216.262, 5768.377000000001, 7390.641, 1020
1, 2000000, O0, no_simplification, 10064.106999999989, 10699.373999999983, 5271.55700000001, 5851.872000000008, 1021
2, 2000000, O0, no_simplification, 9899.869999999977, 10466.770999999986, 5311.297999999964, 5868.545999999975, 1016
3, 2000000, O0, no_simplification, 10034.48400000001, 10621.024000000034, 5323.513000000002, 5817.5810000000165, 1022
4, 2000000, O0, no_simplification, 9884.278999999995, 10353.872000000041, 5204.439999999977, 5639.7839999999815, 1021
5, 2000000, O0, no_simplification, 9940.663999999932, 10405.949000000026, 5272.795000000107, 5714.141000000006, 1019
6, 2000000, O0, no_simplification, 9922.782000000074, 10390.218000000063, 5278.8419999999505, 5775.267999999945, 1020
7, 2000000, O0, no_simplification, 9950.789000000015, 10410.508999999956, 5278.549000000021, 5764.937999999997, 1020
8, 2000000, O0, no_simplification, 9786.27700000001, 12312.108000000044, 5292.072000000147, 5752.062000000114, 1022
9, 2000000, O0, no_simplification, 10064.512999999886, 10702.79999999979, 4854.585999999994, 5554.140999999957, 1020
10, 2000000, O0, no_simplification, 9901.32999999993, 10405.175000000045, 5281.472000000065, 5815.879999999885, 1023
11, 2000000, O0, no_simplification, 9927.122000000121, 10340.908000000092, 5249.755999999994, 5703.051000000015, 1022
12, 2000000, O0, no_simplification, 9909.511999999899, 10271.047999999893, 5221.931000000124, 5640.977000000103, 1022
13, 2000000, O0, no_simplification, 12678.81500000012, 13057.160000000013, 5261.443999999838, 7287.47899999993, 1020
14, 2000000, O0, no_simplification, 9960.180999999846, 10355.408999999981, 5232.412000000019, 5679.930999999971, 1022
15, 2000000, O0, no_simplification, 10438.88100000001, 12041.377000000075, 5376.295999999892, 5909.095999999891, 1021
16, 2000000, O0, no_simplification, 9902.66399999995, 10451.514999999967, 5331.326000000081, 5817.375999999986, 1021
