iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 360000, O0, no_simplification, 9094.952, 18382.105, 3433.5339999999883, 5773.566000000008, 321806
1, 360000, O0, no_simplification, 2068.2589999999614, 2852.8439999999655, 1926.0240000000817, 2843.8050000000326, 354858
2, 360000, O0, no_simplification, 2003.1640000000018, 2748.3710000000274, 1914.9160000000443, 2718.0209999999593, 359498
3, 360000, O0, no_simplification, 1784.8169999998831, 2451.5489999998863, 2007.5089999997963, 2709.3910000000055, 359999
4, 360000, O0, no_simplification, 2012.085999999913, 2621.608999999969, 1777.313000000058, 2462.1510000000235, 359997
5, 360000, O0, no_simplification, 1914.710999999958, 2475.2949999999882, 1944.7609999998506, 2604.6229999998613, 359995
6, 360000, O0, no_simplification, 2186.6430000001546, 2766.873000000114, 1864.3310000001634, 2515.795999999959, 359996
7, 360000, O0, no_simplification, 1919.0090000000826, 2488.292000000003, 1895.0360000000721, 2804.105000000057, 359995
8, 360000, O0, no_simplification, 2149.6229999999896, 2784.6869999998967, 1932.9610000000664, 2681.509000000082, 359994
9, 360000, O0, no_simplification, 1884.074999999985, 2524.4240000001914, 1986.0729999998662, 2783.028999999715, 359997
10, 360000, O0, no_simplification, 1693.3949999997644, 2298.1689999999057, 1840.6030000002183, 2893.1629999999764, 359999
11, 360000, O0, no_simplification, 1676.7419999998979, 2453.1559999996234, 1699.9539999997814, 2296.904000000044, 359999
12, 360000, O0, no_simplification, 1635.8009999999367, 2133.612999999812, 1708.79200000007, 2292.902999999846, 359994
13, 360000, O0, no_simplification, 1592.541999999586, 2050.695999999963, 1759.561000000076, 2342.1510000001254, 359997
14, 360000, O0, no_simplification, 1589.6660000001007, 2017.341999999811, 1739.521999999827, 2267.794000000212, 359996
15, 360000, O0, no_simplification, 1706.6799999998493, 2517.851999999987, 1784.4330000000853, 2339.4620000001255, 359995
16, 360000, O0, no_simplification, 1657.1709999997352, 2149.36099999985, 1741.2650000001584, 2305.3580000000907, 359992
17, 360000, O0, no_simplification, 1614.735999999617, 2083.5619999997057, 1846.119999999729, 2622.366999999848, 359998
18, 360000, O0, no_simplification, 1625.4440000000868, 2067.876000000357, 1809.90999999997, 2338.2459999998773, 360000
19, 360000, O0, no_simplification, 1543.7190000002765, 1953.6370000001746, 1720.603999999959, 2234.9610000000907, 359998
20, 360000, O0, no_simplification, 1678.196999999937, 2447.151999999786, 2082.8219999997623, 2807.030000000044, 359997
21, 360000, O0, no_simplification, 1924.0159999998064, 2504.331999999998, 1970.420999999778, 2606.7190000000905, 359997
22, 360000, O0, no_simplification, 1781.8730000001003, 2290.427999999789, 1814.6589999998853, 2400.3729999999555, 359999
23, 360000, O0, no_simplification, 1715.8500000000743, 2187.7080000001215, 1871.9670000000299, 2424.2800000000566, 359999
24, 360000, O0, no_simplification, 1769.4370000000958, 2244.779999999835, 1728.7930000002839, 2254.53600000014, 360000
25, 360000, O0, no_simplification, 1744.8849999999184, 2355.1280000000397, 1908.7389999996597, 2571.2319999997567, 359993
26, 360000, O0, no_simplification, 1755.7290000000946, 2296.9779999999496, 1870.0029999996204, 2556.5329999999167, 359996
27, 360000, O0, no_simplification, 1763.893999999766, 2373.9489999998755, 1979.4480000001613, 3195.90799999947, 359996
28, 360000, O0, no_simplification, 1842.1150000005327, 2425.212000000343, 1808.0920000000945, 2560.6089999996584, 359996
29, 360000, O0, no_simplification, 1810.2510000002071, 2367.922000000355, 1824.6940000006261, 2421.0540000000337, 359996
30, 360000, O0, no_simplification, 1677.6560000000272, 2314.366000000234, 1822.0460000000216, 2357.077000000096, 359996
31, 360000, O0, no_simplification, 1729.9739999998565, 2182.934999999553, 1798.7340000003016, 2372.0870000003556, 359994
32, 360000, O0, no_simplification, 1856.228000000293, 2189.1649999998817, 1859.2260000005467, 2141.2750000004976, 359995
33, 360000, O0, no_simplification, 1714.474999999993, 1915.7069999993225, 1884.0600000000763, 2255.7729999999056, 359997
34, 360000, O0, no_simplification, 1760.195000000131, 2439.1410000008664, 1791.8520000002047, 2178.3570000000195, 359996
35, 360000, O0, no_simplification, 1840.1840000006332, 2142.1970000004007, 1893.9199999996604, 2355.997999999637, 359999
36, 360000, O0, no_simplification, 1744.7989999999081, 2049.847999999521, 2019.981000000115, 2376.7640000000865, 359995
37, 360000, O0, no_simplification, 1914.7450000005506, 2181.910000000009, 2051.789000000248, 2390.9799999994875, 359998
38, 360000, O0, no_simplification, 1832.1929999993713, 2130.1969999996118, 1959.8300000005509, 2986.2820000001734, 359992
39, 360000, O0, no_simplification, 2011.9210000002497, 2542.705999999839, 2167.385999999993, 2506.467999999984, 359991
40, 360000, O0, no_simplification, 1881.951000000548, 2134.7959999999944, 2168.5069999994867, 2498.609999999957, 359997
41, 360000, O0, no_simplification, 1929.8150000004455, 2139.500000000183, 2135.2080000003325, 2428.8759999997465, 359993
42, 360000, O0, no_simplification, 1916.2080000008075, 2129.4230000004077, 1776.1209999997973, 2141.4420000001046, 359997
43, 360000, O0, no_simplification, 1887.102000000418, 2105.4239999998003, 1911.2830000000968, 2208.3579999998547, 359999
44, 360000, O0, no_simplification, 1886.3790000001045, 2082.845000000333, 1789.0709999992537, 2082.119999999854, 359999
45, 360000, O0, no_simplification, 1849.9189999996447, 2103.5299999994095, 1977.3139999994528, 2298.940000000194, 360000
46, 360000, O0, no_simplification, 1691.716999999926, 1904.193999999748, 1792.9999999992674, 2096.2979999996633, 359998
47, 360000, O0, no_simplification, 1843.535999999979, 2031.3490000001266, 1931.2010000005487, 2201.248000000433, 360000
48, 360000, O0, no_simplification, 1715.9869999998634, 1913.091999999672, 2006.613000000712, 2272.444000000817, 360000
49, 360000, O0, no_simplification, 1693.0159999999362, 1890.7040000000209, 1867.3559999999866, 2147.7949999999523, 359996
50, 360000, O0, no_simplification, 1934.9799999996976, 2123.723999999605, 1650.0690000000873, 1914.2410000005939, 359997
51, 360000, O0, no_simplification, 1769.464999999748, 1960.1780000000347, 2018.5520000000067, 2300.58799999977, 359998
52, 360000, O0, no_simplification, 1893.9069999994729, 2086.8609999995515, 1770.353000000391, 2039.851000000148, 359999
53, 360000, O0, no_simplification, 1517.4350000002335, 1693.5440000001022, 1600.3280000003174, 1860.9650000005472, 359995
54, 360000, O0, no_simplification, 1790.4959999999191, 1998.1260000001555, 1945.444000000407, 2207.595000000673, 359996
55, 360000, O0, no_simplification, 1762.1469999999917, 1963.442000000093, 2050.829999999948, 2330.169000000382, 359996
56, 360000, O0, no_simplification, 1788.5509999997496, 1974.9339999997062, 1776.2250000004087, 2057.595000000134, 360000
