iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 128, O0, no_simplification, 16416.792, 24876.612, 9296.374999999967, 11552.660999999964, 16384
1, 128, O0, no_simplification, 9890.989000000072, 10868.42499999996, 7884.266000000029, 8937.406000000037, 16384
2, 128, O0, no_simplification, 9444.031999999768, 10101.676999999754, 7713.2859999999855, 8441.041999999843, 16384
3, 128, O0, no_simplification, 9774.805000000164, 10876.754999999961, 7931.667000000253, 9094.995999999966, 16384
4, 128, O0, no_simplification, 9661.381999999996, 10391.350999999993, 7849.933000000142, 8713.74799999991, 16384
5, 128, O0, no_simplification, 9892.597000000336, 11117.922000000392, 7740.0970000001125, 8660.244999999733, 16384
6, 128, O0, no_simplification, 9834.374999999618, 11130.93499999973, 7836.714999999827, 8886.364999999507, 16384
7, 128, O0, no_simplification, 9753.620999999768, 10809.768999999747, 7765.687000000021, 8657.27500000002, 16384
8, 128, O0, no_simplification, 9454.94800000013, 10057.113000000229, 7581.917999999632, 8250.901999999449, 16384
9, 128, O0, no_simplification, 9694.672000000182, 10266.687000000551, 7863.230999999971, 8621.031000000556, 16384
10, 128, O0, no_simplification, 9725.34100000022, 10698.242000000135, 7260.85600000026, 9979.130999999697, 16384
11, 128, O0, no_simplification, 9747.456999999571, 10606.967999999384, 7756.312000001486, 8923.467000000684, 16384
12, 128, O0, no_simplification, 8504.571000001348, 9097.27199999999, 7593.331000000702, 8230.157999999932, 16384
13, 128, O0, no_simplification, 9578.358999998925, 10152.911999998792, 7536.4229999994595, 8147.971999999726, 16384
14, 128, O0, no_simplification, 9951.416999999907, 11786.234000000562, 7761.788999999908, 8435.977999999623, 16384
15, 128, O0, no_simplification, 9626.240999999425, 10280.990000000045, 7695.237000000077, 8312.473000000153, 16384
16, 128, O0, no_simplification, 10509.40099999842, 12165.82499999852, 7592.109999999153, 8168.78299999857, 16384
17, 128, O0, no_simplification, 9572.950000000801, 9858.463000000484, 7432.1120000000465, 7795.644999999851, 16384
18, 128, O0, no_simplification, 9401.826999999585, 9685.676000000143, 7524.135000000598, 7957.825000000085, 16384
19, 128, O0, no_simplification, 9337.264999999206, 10094.06699999893, 7556.146999998959, 8394.558999999192, 16384
20, 128, O0, no_simplification, 9337.683000000041, 9801.043999999592, 7427.770000001388, 7748.48800000072, 16384
21, 128, O0, no_simplification, 9490.908000000076, 9744.580999999642, 7609.794999998698, 7940.806999998884, 16384
22, 128, O0, no_simplification, 9348.747999998963, 9600.798999999328, 7434.726999999697, 7753.397999998413, 16384
23, 128, O0, no_simplification, 9481.681000000464, 10036.659000000725, 7446.701000001, 7773.675000001034, 16384
24, 128, O0, no_simplification, 9448.366000000875, 9713.526000000527, 7544.872999998731, 8176.718999999722, 16384
25, 128, O0, no_simplification, 9351.377999999855, 9592.963999999427, 7564.873000001527, 7899.412000000439, 16384
26, 128, O0, no_simplification, 9363.474000000593, 9660.421999999613, 7417.122999999748, 7765.261999999495, 16384
27, 128, O0, no_simplification, 8623.37099999877, 9671.537999999202, 7489.892000000608, 7969.690999999557, 16384
28, 128, O0, no_simplification, 9174.602999999948, 9420.948000000706, 7492.300999999202, 7856.528999999668, 16384
29, 128, O0, no_simplification, 9279.321999999369, 9522.176000000825, 7495.383000000189, 7808.319000000452, 16384
30, 128, O0, no_simplification, 9188.313000001002, 9430.270000001074, 7462.116999999324, 7784.881000000965, 16384
31, 128, O0, no_simplification, 9358.807999999995, 9637.564000000153, 7488.319000000132, 7852.639000001105, 16384
32, 128, O0, no_simplification, 9415.449999998771, 10477.921999999751, 7388.95599999978, 7937.6550000009875, 16384
33, 128, O0, no_simplification, 9276.534000001391, 9508.27299999979, 7466.3279999995775, 7768.833000000086, 16384
34, 128, O0, no_simplification, 9214.742000001053, 9447.789000001094, 7512.991999998775, 7857.144999999122, 16384
35, 128, O0, no_simplification, 9448.962000000449, 9733.082000000337, 7631.214999999969, 8062.281000000838, 16384
36, 128, O0, no_simplification, 9207.331000000708, 9510.646000000734, 7473.477000001339, 7772.964000000826, 16384
37, 128, O0, no_simplification, 9306.827999999712, 9548.45699999929, 7463.909000000157, 7769.53499999955, 16384
38, 128, O0, no_simplification, 9405.998000000081, 9847.704000000234, 6882.262999999611, 7212.356000000142, 16384
39, 128, O0, no_simplification, 9312.323999999706, 9546.937999999727, 7419.741999999729, 7725.773000000658, 16384
40, 128, O0, no_simplification, 9347.78799999947, 9792.38400000071, 7420.699999997282, 7764.723999997614, 16384
41, 128, O0, no_simplification, 9306.61099999952, 9542.080999999314, 7505.229999999585, 7809.8299999993515, 16384
42, 128, O0, no_simplification, 9600.345000002619, 10488.63100000119, 7434.083999999785, 8015.109999998771, 16384
43, 128, O0, no_simplification, 9328.824000000679, 9560.181000001223, 7324.4609999996155, 7621.475000000544, 16384
44, 128, O0, no_simplification, 9327.485000000024, 9556.990000000098, 7605.485999999218, 9169.726999999739, 16384
45, 128, O0, no_simplification, 9416.563000002043, 9971.576000001647, 7579.799999998471, 7904.314999997552, 16384
46, 128, O0, no_simplification, 9235.117999999431, 9456.767999999727, 7285.565000000105, 7596.487000000707, 16384
47, 128, O0, no_simplification, 9280.420999999706, 9509.605000001642, 7324.287999999513, 7623.923000000587, 16384
48, 128, O0, no_simplification, 9218.976999999739, 9467.032999999958, 7260.334999998008, 7646.249999996968, 16384
49, 128, O0, no_simplification, 9357.999000002337, 9579.821000002652, 7416.2190000031105, 7705.710999999837, 16384
50, 128, O0, no_simplification, 9209.940999998167, 9439.001000000502, 7228.0890000016025, 7521.773000000565, 16384
51, 128, O0, no_simplification, 9444.527999999507, 9673.160999998487, 7362.979999999908, 7663.86599999791, 16384
52, 128, O0, no_simplification, 9228.858000000173, 9450.192999999274, 7250.730999999178, 7544.43699999996, 16384
53, 128, O0, no_simplification, 9397.750000001537, 9622.317000001602, 7411.293000000541, 7706.090999999305, 16384
54, 128, O0, no_simplification, 9269.424999999388, 9503.14299999988, 7316.791000000932, 7619.589000000815, 16384
55, 128, O0, no_simplification, 9224.35200000038, 9452.88400000166, 7356.877999999511, 7644.463999998407, 16384
56, 128, O0, no_simplification, 9290.93799999947, 9518.784000000835, 7354.679999998836, 7679.368999998104, 16384
57, 128, O0, no_simplification, 8370.270000000346, 8625.880000000308, 6716.708999999099, 7012.802999998513, 16384
58, 128, O0, no_simplification, 9476.59999999928, 9970.600999999135, 7374.350999999279, 7915.285999999355, 16384
59, 128, O0, no_simplification, 9270.050000001362, 9523.252000001037, 7509.6459999990375, 7836.311000001928, 16384
60, 128, O0, no_simplification, 9257.95899999926, 9488.133000001397, 7496.290999998933, 7815.278999999009, 16384
61, 128, O0, no_simplification, 9328.397999997407, 9563.44199999748, 7472.631999998925, 7780.529000001479, 16384
62, 128, O0, no_simplification, 9473.720999999103, 10078.196999998567, 7305.832000000123, 7687.896000000193, 16384
63, 128, O0, no_simplification, 9629.70599999835, 9879.759000000377, 7829.42800000086, 8211.72799999914, 16384
64, 128, O0, no_simplification, 9593.770999998696, 9826.863999997215, 7707.1269999997585, 8712.558999999232, 16384
65, 128, O0, no_simplification, 9478.543000000172, 9728.96399999712, 7459.322999999074, 7761.2139999985175, 16384
66, 128, O0, no_simplification, 9260.62899999991, 9489.691999998939, 7270.350999998954, 7563.004000001428, 16384
67, 128, O0, no_simplification, 9377.019000002207, 9658.650000002212, 7410.680999999641, 7715.768000000622, 16384
68, 128, O0, no_simplification, 9197.726999996547, 9477.777999997272, 7337.682999999373, 7666.462999999623, 16384
69, 128, O0, no_simplification, 9259.282999998675, 9516.513999997755, 7440.852999998526, 7762.608000000171, 16384
70, 128, O0, no_simplification, 9183.732000000333, 9413.06600000047, 7549.855000000605, 7877.406000002196, 16384
71, 128, O0, no_simplification, 9288.308999998662, 9582.378000001057, 7515.6259999999975, 8532.20000000121, 16384
72, 128, O0, no_simplification, 9238.42999999991, 9637.617999999293, 6598.195999998779, 6882.461000000007, 16384
73, 128, O0, no_simplification, 9298.543999999963, 9521.41999999867, 7393.384000000225, 7739.062999998936, 16384
74, 128, O0, no_simplification, 9172.105000001096, 9394.694000000925, 7317.351999997612, 7596.065999997847, 16384
75, 128, O0, no_simplification, 9316.273999999681, 9539.944000000134, 7378.808999998654, 7670.528999998538, 16384
76, 128, O0, no_simplification, 8697.047000001845, 8917.27400000164, 7345.110000002819, 7638.893999999396, 16384
77, 128, O0, no_simplification, 9306.000000002257, 9521.817000003097, 7615.920999999304, 8025.7519999982205, 16384
78, 128, O0, no_simplification, 9565.13699999917, 9781.266000000955, 7435.862000001236, 7748.600999999411, 16384
79, 128, O0, no_simplification, 9253.23399999911, 9474.771000000714, 7385.0350000022045, 7667.203000000455, 16384
80, 128, O0, no_simplification, 9257.124999997757, 9472.31900000034, 7334.561000000405, 7621.34300000028, 16384
81, 128, O0, no_simplification, 9347.641999998046, 9575.618999999591, 7337.504999998856, 7623.600999998815, 16384
82, 128, O0, no_simplification, 9165.538000001305, 9382.538000000552, 7286.405000002105, 7573.650000001208, 16384
83, 128, O0, no_simplification, 9243.097999998896, 9462.280000001045, 7464.521999999362, 7748.35400000029, 16384
84, 128, O0, no_simplification, 9348.651000003372, 9562.63800000201, 7327.142000001175, 7612.447999999717, 16384
