iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 2400, O0, no_simplification, 9653.574, 17855.616, 5470.946000000087, 7556.798000000087, 0
1, 2400, O0, no_simplification, 5562.470999999736, 6458.47499999963, 4884.109999999886, 5942.112000000055, 0
2, 2400, O0, no_simplification, 4750.051999999893, 5536.030000000025, 4346.373000000625, 5389.024000000298, 0
3, 2400, O0, no_simplification, 4994.925000000095, 6468.507000000123, 4697.8669999999665, 5654.127999999759, 0
4, 2400, O0, no_simplification, 5092.385999999394, 7098.795999999296, 4850.896999999854, 6070.9209999991745, 0
5, 2400, O0, no_simplification, 5268.03800000053, 5812.252000000129, 4790.112000000235, 5428.3760000011225, 0
6, 2400, O0, no_simplification, 4879.300999999004, 5665.185999999878, 4747.486999999495, 5868.416000000209, 0
7, 2400, O0, no_simplification, 5293.484999999265, 5971.4409999998, 4732.227999999949, 5829.534000000081, 0
8, 2400, O0, no_simplification, 5462.27299999913, 6613.199000000236, 4430.30100000108, 5355.665000001508, 0
9, 2400, O0, no_simplification, 5459.864000000536, 6260.016999998897, 4716.165999999688, 5576.362999999418, 0
10, 2400, O0, no_simplification, 5556.734000000673, 6551.804000000771, 4762.188000000833, 5818.084999999584, 0
11, 2400, O0, no_simplification, 5409.778000000642, 6236.821999999976, 4754.261000000426, 5801.276999999772, 0
12, 2400, O0, no_simplification, 5239.790000000966, 6568.744000000848, 4601.254000000665, 5351.834000000721, 0
13, 2400, O0, no_simplification, 5415.124999998966, 9501.819999996997, 4651.635000001875, 5573.654000002648, 0
14, 2400, O0, no_simplification, 5199.337000000525, 5758.584000002287, 4099.544000002453, 4651.991999999438, 0
15, 2400, O0, no_simplification, 4734.188000000472, 5156.557000002948, 4203.4189999995415, 4702.711000000192, 0
16, 2400, O0, no_simplification, 4650.250999997496, 4854.565999998784, 4675.204000001542, 4974.025999999299, 0
17, 2400, O0, no_simplification, 5230.24800000016, 5659.26099999814, 4577.242999999953, 5069.177999999397, 0
18, 2400, O0, no_simplification, 5273.904999999246, 5489.315000001938, 4511.128000000753, 4826.817000001427, 0
19, 2400, O0, no_simplification, 5371.650999997257, 5754.6299999984285, 4699.089000002487, 5290.4370000028675, 0
20, 2400, O0, no_simplification, 5285.587999999563, 5495.731999999975, 4591.200000000128, 5020.177000002235, 0
