iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 300000, O0, no_simplification, 27085.824999999997, 35123.047, 8905.505000000008, 10936.54500000002, 0
1, 300000, O0, no_simplification, 20641.65200000001, 21280.45099999998, 7869.482000000039, 8587.200000000017, 0
2, 300000, O0, no_simplification, 20669.421999999882, 21305.346999999976, 7827.191999999927, 8564.353999999996, 0
3, 300000, O0, no_simplification, 20101.64900000011, 21135.007000000038, 7629.2420000001475, 8565.337000000061, 0
4, 300000, O0, no_simplification, 20579.911000000007, 21305.09300000005, 7792.2930000000615, 8346.458000000111, 0
5, 300000, O0, no_simplification, 20043.940000000093, 20500.40799999997, 7801.787000000005, 8384.630000000116, 0
6, 300000, O0, no_simplification, 20573.14099999985, 21064.900999999914, 7762.794999999878, 8314.697999999953, 0
7, 300000, O0, no_simplification, 20582.876000000193, 21002.181000000062, 7706.886000000024, 8252.684000000121, 0
8, 300000, O0, no_simplification, 20529.26799999999, 20963.10400000001, 7757.518000000019, 8278.918000000023, 0
9, 300000, O0, no_simplification, 20228.834999999945, 20643.391000000123, 7704.535999999873, 8243.760000000044, 0
10, 300000, O0, no_simplification, 20565.796000000082, 20991.007000000118, 7853.22399999977, 8407.928999999647, 0
11, 300000, O0, no_simplification, 20397.65299999985, 20804.10300000013, 7616.866999999861, 8154.208999999746, 0
12, 300000, O0, no_simplification, 20413.125000000142, 20842.66899999987, 7515.833999999888, 8025.073000000216, 0
13, 300000, O0, no_simplification, 20603.908000000003, 20991.840999999844, 7633.03999999998, 8105.298999999899, 0
14, 300000, O0, no_simplification, 20619.76600000026, 21024.56500000027, 7665.899000000031, 8186.176000000156, 0
15, 300000, O0, no_simplification, 20405.686000000143, 20907.579000000176, 7748.960000000249, 8255.254000000266, 0
16, 300000, O0, no_simplification, 20622.07700000007, 21620.624000000087, 7818.246999999889, 8367.970999999752, 0
17, 300000, O0, no_simplification, 20457.01299999969, 20878.8249999996, 7692.919000000131, 8231.357000000105, 0
18, 300000, O0, no_simplification, 20661.513999999937, 21088.329999999987, 7840.91000000009, 8470.012000000082, 0
19, 300000, O0, no_simplification, 20561.244000000035, 20970.810999999758, 7685.760999999847, 8145.749000000091, 0
20, 300000, O0, no_simplification, 20057.487999999958, 20408.596999999863, 7746.85900000005, 8185.870000000151, 0
21, 300000, O0, no_simplification, 20007.27300000005, 20810.757000000012, 7846.715999999976, 9155.299000000117, 0
22, 300000, O0, no_simplification, 20399.019000000073, 20967.023000000307, 7740.332000000017, 8256.470000000072, 0
23, 300000, O0, no_simplification, 20413.592999999786, 20808.020000000037, 7764.083999999727, 8267.444999999985, 0
