iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 2400, O0, no_simplification, 14438.806999999999, 27782.259000000002, 10075.48700000005, 12620.68999999999, 0
1, 2400, O0, no_simplification, 9821.902000000104, 11012.465000000082, 9497.17399999983, 10600.871999999928, 0
2, 2400, O0, no_simplification, 9135.226000000162, 9653.193999999754, 9719.731999999758, 11165.280000000166, 0
3, 2400, O0, no_simplification, 9716.003000000306, 11055.426999999618, 10104.243999999873, 11064.790999999906, 0
4, 2400, O0, no_simplification, 9570.552999999649, 10038.419999999882, 9185.665000000397, 9790.815999999759, 0
5, 2400, O0, no_simplification, 9682.831000000115, 10414.612000000823, 9156.629999999666, 9935.602999999737, 0
6, 2400, O0, no_simplification, 9342.1780000007, 9999.074999999635, 9072.697000000573, 9941.095000000289, 0
7, 2400, O0, no_simplification, 9361.413000000595, 10054.108000000284, 9285.769999999971, 10663.688999999365, 0
8, 2400, O0, no_simplification, 9173.134999999278, 11564.947000000104, 9261.603999998868, 10203.240999999252, 0
9, 2400, O0, no_simplification, 9636.465999999898, 12378.231999999656, 8312.459999999079, 10040.757999998817, 0
10, 2400, O0, no_simplification, 9977.823999999913, 12476.959000000676, 8972.548999999219, 10003.427999999203, 0
11, 2400, O0, no_simplification, 9388.448999999355, 9988.6369999993, 9343.89499999888, 10744.054999999975, 0
12, 2400, O0, no_simplification, 8961.127999999264, 9732.342999999588, 9338.966000001392, 12820.623000001418, 0
13, 2400, O0, no_simplification, 9401.796000002349, 11107.023000000992, 8706.762999999284, 10546.873999999207, 0
14, 2400, O0, no_simplification, 9721.037999998573, 10283.503000000139, 9412.468000000728, 10390.96399999906, 0
15, 2400, O0, no_simplification, 9109.318000000145, 9648.689999998795, 9088.970000000529, 10667.938000000988, 0
16, 2400, O0, no_simplification, 9315.30399999758, 10051.906000001054, 9060.995000002236, 9441.343999998964, 0
17, 2400, O0, no_simplification, 9940.461999999428, 10515.665999999868, 8980.53499999918, 9845.1759999989, 0
18, 2400, O0, no_simplification, 9571.953999998328, 11354.7650000001, 9905.1199999991, 10453.589000000818, 0
19, 2400, O0, no_simplification, 9058.816999999664, 9301.25400000037, 9543.044000000833, 9843.92400000189, 0
