iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 1000, O0, no_simplification, 181713.96899999998, 189039.49599999998, 47349.96800000002, 49148.54300000002, 0
1, 1000, O0, no_simplification, 167371.11500000002, 167958.762, 46528.39800000002, 47195.10500000002, 0
2, 1000, O0, no_simplification, 166337.33900000004, 166757.07600000006, 46425.05099999994, 46931.66699999996, 0
3, 1000, O0, no_simplification, 166395.66399999993, 166789.38999999993, 46507.73099999994, 47027.59499999998, 0
4, 1000, O0, no_simplification, 166430.18200000003, 166830.32899999994, 46464.87399999999, 46927.90300000005, 0
5, 1000, O0, no_simplification, 166360.40699999998, 166701.05899999998, 46457.08900000001, 46832.293999999885, 0
6, 1000, O0, no_simplification, 166412.118, 166731.1920000001, 46461.08800000004, 46845.29600000009, 0
7, 1000, O0, no_simplification, 166332.634, 166635.56999999995, 46462.25199999998, 46849.442999999934, 0
8, 1000, O0, no_simplification, 166454.1209999999, 166871.26499999993, 46438.32800000003, 46830.880999999994, 0
9, 1000, O0, no_simplification, 166540.50999999992, 166859.57100000003, 46522.633000000365, 47757.08600000028, 0
10, 1000, O0, no_simplification, 166328.21099999972, 166625.41100000005, 46459.68499999986, 46887.19399999997, 0
11, 1000, O0, no_simplification, 166363.3400000002, 166681.5100000001, 46545.21300000036, 46984.73600000019, 0
12, 1000, O0, no_simplification, 166494.4669999997, 166825.5849999998, 46457.04499999992, 46897.632999999936, 0
13, 1000, O0, no_simplification, 166566.7530000001, 166879.4730000003, 46504.62999999982, 47100.422999999835, 0
14, 1000, O0, no_simplification, 166573.0270000001, 166951.09999999992, 46523.781999999956, 47242.83300000032, 0
15, 1000, O0, no_simplification, 166169.55400000012, 166544.80399999995, 46502.64700000006, 46912.57300000018, 0
16, 1000, O0, no_simplification, 166393.23500000013, 166754.12400000013, 46475.472999999656, 46884.683999999674, 0
17, 1000, O0, no_simplification, 166471.6730000002, 166802.81100000016, 46546.08299999996, 47740.81600000013, 0
18, 1000, O0, no_simplification, 166537.69900000005, 166835.48900000035, 46576.99200000032, 46913.318999999734, 0
19, 1000, O0, no_simplification, 166431.0950000001, 166660.09400000004, 46464.06500000033, 46634.02100000002, 0
20, 1000, O0, no_simplification, 166924.09200000035, 167018.0410000004, 46460.11400000028, 46610.731999999545, 0
21, 1000, O0, no_simplification, 166434.6279999993, 166525.3619999998, 46437.775000000234, 46582.59300000012, 0
22, 1000, O0, no_simplification, 166101.05799999976, 166193.12300000023, 46464.40700000021, 46607.220000000285, 0
23, 1000, O0, no_simplification, 166486.16199999998, 166571.6669999995, 46424.299999999974, 46574.54400000027, 0
24, 1000, O0, no_simplification, 166348.61300000024, 166441.48800000024, 46555.94299999954, 47063.520000000026, 0
25, 1000, O0, no_simplification, 166319.2019999995, 166407.24099999992, 46448.14500000027, 46582.53900000009, 0
26, 1000, O0, no_simplification, 166130.12500000047, 166257.36599999995, 46419.57399999974, 46555.63699999998, 0
27, 1000, O0, no_simplification, 166623.7180000003, 166709.22900000028, 46517.382000000216, 47392.259000000435, 0
28, 1000, O0, no_simplification, 166255.71400000007, 166396.1709999997, 46448.359000000215, 46597.49799999968, 0
29, 1000, O0, no_simplification, 166385.6939999997, 166482.8309999997, 46437.61799999968, 46575.10400000042, 0
