iteration, num_elements, opt_level, simplify, exec_time_u_k_us, exec_time_u_us, exec_time_m_k_us, exec_time_m_us, errors
0, 200000, O0, no_simplification, 39309.869, 47430.938, 15055.899000000012, 17091.577999999998, 0
1, 200000, O0, no_simplification, 34089.547999999966, 34633.98500000004, 13897.497999999952, 14536.329000000014, 0
2, 200000, O0, no_simplification, 34020.25799999997, 34890.07700000002, 13960.508999999898, 14723.738000000041, 0
3, 200000, O0, no_simplification, 33803.13000000013, 34216.07500000001, 13544.4950000001, 14001.637000000012, 0
4, 200000, O0, no_simplification, 33365.67900000009, 33719.043000000056, 12456.530999999994, 12885.201999999874, 0
5, 200000, O0, no_simplification, 33031.03799999985, 33368.02199999989, 12616.293000000001, 13042.260000000195, 0
6, 200000, O0, no_simplification, 33018.02200000003, 33330.22099999994, 12647.126000000064, 13227.346000000085, 0
7, 200000, O0, no_simplification, 32686.032999999836, 33051.12499999985, 12161.660000000074, 12675.127000000064, 0
8, 200000, O0, no_simplification, 32837.663000000015, 33160.51799999986, 12315.159999999993, 12717.90500000014, 0
9, 200000, O0, no_simplification, 32782.53999999991, 33139.79200000006, 12105.207999999922, 12508.11900000004, 0
10, 200000, O0, no_simplification, 32723.023999999823, 33024.61999999995, 12523.300000000016, 12893.237000000114, 0
11, 200000, O0, no_simplification, 33030.2950000001, 33321.90300000004, 12159.408000000038, 12533.222000000065, 0
12, 200000, O0, no_simplification, 32704.79599999998, 33009.4729999999, 12123.6149999997, 12497.61199999977, 0
13, 200000, O0, no_simplification, 32735.154000000042, 33028.97299999996, 12691.750000000113, 13053.123000000167, 0
14, 200000, O0, no_simplification, 32675.922999999773, 32958.986999999775, 12459.419999999887, 12840.850999999986, 0
15, 200000, O0, no_simplification, 32659.444000000094, 32935.03700000011, 12339.707999999839, 12722.573999999653, 0
16, 200000, O0, no_simplification, 32914.2560000002, 33220.96999999991, 12192.98499999999, 12643.521999999852, 0
17, 200000, O0, no_simplification, 33048.57200000022, 33372.30300000016, 12068.892999999915, 12855.053000000005, 0
18, 200000, O0, no_simplification, 32757.822000000215, 33041.781000000105, 12430.719999999785, 12764.831000000144, 0
19, 200000, O0, no_simplification, 32962.73400000027, 33253.83800000026, 12720.956999999977, 13060.764000000003, 0
20, 200000, O0, no_simplification, 32684.246999999723, 32941.085000000036, 12142.563999999911, 12462.40299999979, 0
21, 200000, O0, no_simplification, 32564.818999999636, 32822.36799999971, 12111.806000000059, 12467.913000000053, 0
22, 200000, O0, no_simplification, 32724.716000000153, 32986.66500000014, 12238.147000000143, 12555.222000000032, 0
23, 200000, O0, no_simplification, 32955.984, 33686.6979999999, 12257.351000000139, 12596.688999999995, 0
24, 200000, O0, no_simplification, 32994.60200000004, 33267.4169999998, 12363.313000000264, 12701.531999999905, 0
25, 200000, O0, no_simplification, 32648.087000000105, 32912.14899999995, 12154.200000000337, 12490.083999999957, 0
26, 200000, O0, no_simplification, 32978.77700000029, 33279.36800000009, 12234.118999999931, 12564.250000000055, 0
27, 200000, O0, no_simplification, 32998.94000000014, 33256.662999999964, 12304.19199999977, 12626.666000000065, 0
